name,text,count,landColor,numColors,power
Stirring Wildwood,"Stirring Wildwood enters the battlefield tapped.
{T}: Add {G} or {W}.
{1}{G}{W}: Until end of turn, Stirring Wildwood becomes a 3/4 green and white Elemental creature with reach. It's still a land.",36,White Green ,2,0.9162420572651346
Stomping Ground,"({T}: Add {R} or {G}.)
As Stomping Ground enters the battlefield, you may pay 2 life. If you don't, Stomping Ground enters the battlefield tapped.",41,Red Green ,2,1.3611565272637702
Strip Mine,"{T}: Add {C}.
{T}, Sacrifice Strip Mine: Destroy target land.",47,White Blue Black Red Green,4,0.873649542707159
Sulfurous Springs,"{T}: Add {C}.
{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.",34,Black Red ,2,0.7382762692656804
Taiga,({T}: Add {R} or {G}.),34,Red Green ,2,0.7382762692656804
Temple Garden,"({T}: Add {G} or {W}.)
As Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",59,White Green ,2,2.962848619258858
Tendo Ice Bridge,"Tendo Ice Bridge enters the battlefield with a charge counter on it.
{T}: Add {C}.
{T}, Remove a charge counter from Tendo Ice Bridge: Add one mana of any color.",21,White Blue Black Red Green,4,0
Terramorphic Expanse,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",28,White Blue Black Red Green,4,0.008432910643891574
Tolarian Academy,{T}: Add {U} for each artifact you control.,24,Blue ,1,0.970824702143517
Treetop Village,"Treetop Village enters the battlefield tapped.
{T}: Add {G}.
{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to the player or planeswalker it's attacking.)",27,Green ,1,1.2779431646807584
Tropical Island,({T}: Add {G} or {U}.),38,Blue Green ,2,1.0942078452645887
Tundra,({T}: Add {W} or {U}.),48,White Blue ,2,1.98403678526186
Underground River,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you.",3,Blue Black ,2,0
Underground Sea,({T}: Add {U} or {B}.),40,Blue Black ,2,1.272173633264043
Undiscovered Paradise,"{T}: Add one mana of any color. During your next untap step, as you untap your permanents, return Undiscovered Paradise to its owner's hand.",18,White Blue Black Red Green,4,0
"Urborg, Tomb of Yawgmoth",Each land is a Swamp in addition to its other land types.,5,Black ,1,0
Verdant Catacombs,"{T}, Pay 1 life, Sacrifice Verdant Catacombs: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle your library.",65,Black Green ,2,3.496745983257221
Volcanic Island,({T}: Add {U} or {R}.),31,Blue Red ,2,0.47132758726649904
Volrath's Stronghold,"{T}: Add {C}.
{1}{B}, {T}: Put target creature card from your graveyard on top of your library.",18,Black ,1,0.3565877770690339
Wandering Fumarole,"Wandering Fumarole enters the battlefield tapped.
{T}: Add {U} or {R}.
{2}{U}{R}: Until end of turn, Wandering Fumarole becomes a 1/4 blue and red Elemental creature with ""{0}: Switch this creature's power and toughness until end of turn."" It's still a land.",38,Blue Red ,2,1.0942078452645887
Wasteland,"{T}: Add {C}.
{T}, Sacrifice Wasteland: Destroy target nonbasic land.",56,White Blue Black Red Green,4,1.2834890000002857
Watery Grave,"({T}: Add {U} or {B}.)
As Watery Grave enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",41,Blue Black ,2,1.3611565272637702
Westvale Abbey,"{T}: Add {C}.
{5}, {T}, Pay 1 life: Create a 1/1 white and black Human Cleric creature token.
{5}, {T}, Sacrifice five creatures: Transform Westvale Abbey, then untap it.",1,White Blue Black Red Green,4,0
Windswept Heath,"{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle your library.",64,White Green ,2,3.407763089257494
Wooded Foothills,"{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle your library.",47,Red Green ,2,1.8950538912621329
Yavimaya Coast,"{T}: Add {C}.
{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.",26,Blue Green ,2,0.026413117267863467
