Name,sb%
Bloodbraid Elf,37.1
Bloodghast,31.6
Bloodsoaked Champion,16.7
Bloodstained Mire,6
Blooming Marsh,16.7
Bomat Courier,28.6
Bone Shredder,57.1
Bonehoard,100
Bonesplitter,34.6
Bonfire of the Damned,75
Bontu's Last Reckoning,0
Boros Charm,40
Boros Signet,10.5
"Bosh, Iron Golem",33.3
Botanical Sanctum,50
"Braids, Cabal Minion",32.4
Brain Freeze,71.4
Brain Maggot,20
Brainstorm,10
Breeding Pool,19.1
Briarhorn,66.7
Bribery,7.5
Brightling,75
"Brimaz, King of Oreskos",31.9
Brimstone Volley,0
Bring to Light,28.6
Brushland,8.3
Buried Alive,40
Burning of Xinye,65.4
Burst Lightning,26.8
Cabal Ritual,75
Callous Dismissal,0
Captain of the Watch,0
Careful Study,33.3
Carnage Tyrant,34.5
Carnophage,50
Carrion Feeder,40
Cast Down,37.5
Cast Out,60
Catastrophe,50
Cavalier of Gales,66.7
Caves of Koilos,13.8
Celestial Colonnade,9.3
Cemetery Reaper,0
Censor,0
Chain Lightning,10.9
Chainer's Edict,0
Champion of Wits,66.7
"Chandra, Acolyte of Flame",50
"Chandra, Fire of Kaladesh",50
"Chandra, Flamecaller",22.6
"Chandra, Pyromaster",100
"Chandra, Torch of Defiance",11.6
Chandra's Phoenix,50
Channel,35.3
Char,28.6
Chart a Course,24.3
Chrome Mox,2.4
City of Brass,1.3
City of Traitors,0
Cloudgoat Ranger,44.4
Coalition Relic,4.4
Coercive Portal,0
Coiling Oracle,100
Coldsteel Heart,16.7
Collected Company,66.7
Collective Brutality,16
Collective Defiance,50
Combat Celebrant,33.3
Commit // Memory,20
Commune with the Gods,0
Compulsive Research,0
Concealed Courtyard,22.2
Condemn,50
Condescend,6.2
Confiscation Coup,0
Consecrated Sphinx,5.6
Consul's Lieutenant,0
Containment Priest,50
Control Magic,5
Copperline Gorge,44.4
Corpse Dance,75
Council's Judgment,9.4
Counterspell,6.8
Courser of Kruphix,20.6
Craterhoof Behemoth,27.3
Creeping Tar Pit,10.9
Crucible of Worlds,26.9
Crux of Fate,100
Cryptbreaker,60
Cryptic Command,9.7
Crystal Shard,70
Cultivate,23.5
Cultivator's Caravan,100
Curse of Disturbance,40
Curse of Predation,0
Cursed Scroll,50
Custodi Lich,21.9
Cyclonic Rift,66.7
Cytoplast Root-Kin,100
Dack Fayden,7.7
Dack's Duplicate,100
Damnation,35
Dance of the Dead,50
"Daretti, Ingenious Iconoclast",37
"Daretti, Scrap Savant",40
Darigaaz Reincarnated,57.1
Dark Confidant,15.2
Dark Petition,66.7
Dark Ritual,37.5
Darkslick Shores,20
Dauntless Bodyguard,51.3
Day of Judgment,25
Daze,18.8
Deathrite Shaman,35.7
Deceiver Exarch,34.6
Declaration in Stone,21.2
Deep Analysis,6.7
Deep Forest Hermit,0
Delver of Secrets,40
Demonic Tutor,0
Demonlord Belzenlok,66.7
Den Protector,33.3
Deranged Hermit,24.5
Desperate Ritual,80
Detention Sphere,0
Devil's Play,0
Devoted Druid,100
Diabolic Edict,28.6
Dig Through Time,13.5
Dimir Signet,0
Dire Fleet Daredevil,46.7
Diregraf Colossus,0
Diregraf Ghoul,36.4
Disallow,16.7
Disenchant,65
Dismember,4.3
Dismissive Pyromancer,52.9
Dissenter's Deliverance,50
Distended Mindbender,0
Distress,0
Divest,66.7
"Domri, Chaos Bringer",100
Doom Blade,0
Doom Whisperer,38.5
Doomed Traveler,0
Dovin's Veto,100
Dragon Hunter,44.4
Dragonlord Atarka,30.6
Dragonlord Dromoka,100
Dragonlord Ojutai,60
Dragonlord Silumgar,0
Dragonskull Summit,100
"Drana, Liberator of Malakir",50
Drawn from Dreams,0
Dread Wanderer,24
Dreadbore,44.4
Drowned Catacomb,0
Dryad Militant,10
Dualcaster Mage,66.7
Duplicant,50
Duress,20.4
Duskwatch Recruiter,50
Dust Bowl,71.4
Earthquake,47.6
Earthshaker Khenra,30.8
"Edric, Spymaster of Trest",46.4
Eerie Interlude,100
Eidolon of the Great Revel,22.2
Eldrazi Displacer,100
Electrolyze,28.6
"Elesh Norn, Grand Cenobite",27.8
Elite Vanguard,50
"Elspeth, Knight-Errant",4.5
"Elspeth, Sun's Champion",24.4
Elves of Deep Shadow,28.6
Elvish Mystic,13.2
Emeria Angel,77.8
Emissary of Grudges,100
Empty the Warrens,71.4
"Emrakul, the Aeons Torn",35
"Emrakul, the Promised End",15.4
Enclave Cryptologist,53.8
Engineered Explosives,50
Enlightened Tutor,53.6
Ensoul Artifact,100
Entomb,18.5
Entreat the Angels,33.3
Ephemerate,50
"Erebos, God of the Dead",0
Eternal Dragon,29.4
Eternal Witness,4.8
Etherium Sculptor,100
Eureka,40.7
Everflowing Chalice,12.1
Evolution Sage,100
Evolving Wilds,11.1
Exalted Angel,45.5
Exclusion Mage,37.5
Exhume,34.6
Expansion   Explosion,0
Expansion // Explosion,50
Expedition Envoy,100
Experiment One,0
Experimental Frenzy,42.9
Exquisite Firecraft,42.9
"Ezuri, Claw of Progress",0
Fact or Fiction,5
Faerie Conclave,17.1
Fairgrounds Warden,50
Faith's Fetters,27.3
Faithless Looting,23.3
Falkenrath Aristocrat,66.7
Falkenrath Gorger,36.1
Fallen Shinobi,100
Farseek,23.5
Fastbond,50
Fatal Push,29.4
Fauna Shaman,17.8
Feldon of the Third Path,60
Fetid Pools,0
Field of Ruin,41.7
Fiend Hunter,0
Fiery Confluence,21.1
Fiery Islet,25
Figure of Destiny,14.3
Filigree Familiar,0
Finale of Devastation,0
Fire // Ice,25
Fire Imp,0
Fireblast,31.4
Firebolt,27
Firebrand Archer,100
Firedrinker Satyr,38.5
Firestorm,71.4
Flame Slash,25
Flames of the Firebrand,60
Flametongue Kavu,19.6
Flashfires,100
Fleetwheel Cruiser,40
Flesh Carver,36.4
Fleshbag Marauder,50
Flickerwisp,33.3
Flood Plain,100
Flooded Grove,50
Flooded Strand,3.5
Flux Channeler,100
Forbid,8.6
Force of Virtue,100
Force of Will,22.2
Force Spike,31.8
Forest,7.3
Forsake the Worldly,50
Foundry Inspector,100
Fractured Identity,6
Frantic Search,28.6
Frenzied Fugue,38.5
Frost Titan,10
Fyndhorn Elves,13.8
Gaea's Cradle,16.2
Galepowder Mage,100
Garruk Relentless,9.1
Garruk Wildspeaker,6.2
"Garruk, Apex Predator",100
"Garruk, Primal Hunter",60
Geist of Saint Traft,36.8
Gemstone Mine,10.5
Genesis Wave,75
Gerrard's Verdict,33.3
Ghirapur Aether Grid,100
Ghor-Clan Rampager,0
Gideon Blackblade,14.3
Gideon Jura,20.8
Gideon of the Trials,22
"Gideon, Ally of Zendikar",13.4
Gifted Aetherborn,0
Gifts Ungiven,42.9
Gilded Drake,0
Gilded Lotus,17.4
"Gisela, the Broken Blade",0
Gitaxian Probe,0
Giver of Runes,0
Glacial Fortress,0
Glen Elendra Archmage,5
Glint-Sleeve Siphoner,36.8
Glorious Anthem,100
Glory-Bound Initiate,59.1
Glorybringer,38.5
Gnarled Scarhide,41.2
Go for the Throat,8.1
Goblin Bombardment,83.3
Goblin Chainwhirler,75
Goblin Cratermaker,40
Goblin Dark-Dwellers,57.1
Goblin Electromancer,100
Goblin Glory Chaser,75
Goblin Guide,23.7
Goblin Rabblemaster,7.7
Goblin Welder,90.9
God-Eternal Kefnet,100
Godless Shrine,20
Goldmeadow Harrier,100
Golgari Signet,25
"Gonti, Lord of Luxury",23.1
Grafted Wargear,42.4
Grand Coliseum,0
Grasp of Fate,0
Grave Titan,5.6
Graveborn Muse,0
Gravecrawler,37.9
Gray Merchant of Asphodel,0
Greater Gargadon,44.4
Green Sun's Zenith,13.8
Grim Haruspex,100
Grim Lavamancer,33.3
Grim Monolith,8.6
Grim Tutor,50
Griselbrand,13.3
Grisly Salvage,50
Gruul Signet,44.4
Guardian Idol,23.1
Gush,50
Gutterbones,100
Guttersnipe,0
Hadana's Climb,0
Hallowed Fountain,6.4
Hallowed Spiritkeeper,33.3
Hangarback Walker,22.2
Hanged Executioner,20
Hanweir Battlements,50
Hanweir Garrison,11.8
Hanweir Militia Captain,100
Hardened Scales,100
Harmonize,25
Harsh Mentor,30
Hazoret the Fervent,39.1
Heartbeat of Spring,100
Hedron Archive,22.2
Heir of Falkenrath,52.6
Hellkite Overlord,0
Hellrider,22.9
Hellspark Elemental,61.5
Hero of Bladehold,29.8
Hero of Oxid Ridge,0
Hero's Downfall,24
Heroic Reinforcements,100
Hexdrinker,0
High Tide,50
Hissing Quagmire,27.9
History of Benalia,62.5
Honor of the Pure,60
Horizon Canopy,6.7
Hornet Queen,16.1
Hostage Taker,12.2
Huntmaster of the Fells,50
Hydroid Krasis,50
Hymn to Tourach,8.8
Hypnotic Specter,40
"Ilharg, the Raze-Boar",0
Imperial Recruiter,41.7
Imperial Seal,13.3
Imposing Sovereign,42.9
Impulse,8.3
Incendiary Flow,0
Incinerate,17.9
Inferno Titan,10.6
Inkwell Leviathan,36
Inquisition of Kozilek,9.8
Inspiring Vantage,53.8
Insult // Injury,100
Into the Roil,37.5
"Iona, Shield of Emeria",50
Irrigated Farmland,11.1
"Isamaru, Hound of Konda",30.8
Isareth the Awakener,0
Island,7.2
Isochron Scepter,100
Isolated Chapel,100
Izzet Charm,11.1
Izzet Signet,0
Jace Beleren,16.7
"Jace, Architect of Thought",20
"Jace, the Mind Sculptor",5
"Jace, Vryn's Prodigy",6.2
Jackal Pup,43.8
Jadelight Ranger,40
"Jhoira, Weatherlight Captain",100
Joraga Treespeaker,10.3
Journey to Eternity,100
Journey to Nowhere,18.8
"Kalitas, Traitor of Ghet",20
"Kambal, Consul of Allocation",100
Karakas,14.6
Kargan Dragonlord,0
"Kari Zev, Skyship Raider",16.7
Karn Liberated,0
"Karn, Scion of Urza",17.2
Karplusan Forest,26.1
Keldon Marauders,37.5
"Keranos, God of Storms",0
Kessig Prowler,0
"Kiki-Jiki, Mirror Breaker",24.1
Kinjalli's Sunwing,50
"Kiora, the Crashing Wave",100
"Kira, Great Glass-Spinner",100
Kitchen Finks,32.3
Kitesail Freebooter,30
Kjeldoran Outpost,100
Knight of Autumn,41.9
Knight of the Holy Nimbus,0
Knight of the Reliquary,60
Kodama's Reach,20
Kolaghan's Command,21.7
Kor Haven,60
Kor Skyfisher,0
Koth of the Hammer,34.1
"Kozilek, Butcher of Truth",23.5
"Kozilek, the Great Distortion",100
"Krenko, Tin Street Kingpin",30
Kuldotha Forgemaster,0
"Kytheon, Hero of Akros",28.6
Laboratory Maniac,100
Land Tax,26.9
Languish,61.5
Lavaclaw Reaches,26.9
Law-Rune Enforcer,100
Legion Warboss,22.2
Legion's Landing,55.6
Leonin Relic-Warder,63.6
Leonin Warleader,66.7
"Leovold, Emissary of Trest",0
Leyline of Sanctity,83.3
Library of Alexandria,0
Life // Death,58.3
Life from the Loam,66.7
Light Up the Stage,50
Lightning Bolt,7.1
Lightning Greaves,33.3
Lightning Helix,37
Lightning Mauler,25
Lightning Strike,13.3
Liliana of the Veil,3.8
"Liliana, Death's Majesty",30
"Liliana, Dreadhorde General",0
"Liliana, Heretical Healer",25
"Liliana, the Last Hope",10.3
Liliana's Reaver,0
Liliana's Triumph,50
Lilianas Mastery,0
Lingering Souls,10.3
"Linvala, Keeper of Silence",57.1
Lion's Eye Diamond,33.3
Living Death,73.7
Living Twister,100
Llanowar Elves,4.5
Llanowar Wastes,14.3
Lodestone Golem,63.6
Logic Knot,0
Lone Missionary,100
Looter il-Kor,33.3
Lotleth Troll,0
Lotus Bloom,0
Lotus Cobra,11.4
Lotus Petal,25
Loxodon Smiter,100
Loxodon Warhammer,100
Lumbering Falls,20.4
Lyra Dawnbringer,50
Maelstrom Pulse,31.4
Magma Jet,11.5
Magus of the Moon,61.5
Makeshift Mannequin,40
Malicious Affliction,100
Man-o'-War,28
Mana Confluence,3
Mana Crypt,0
Mana Drain,11.1
Mana Flare,62.5
Mana Leak,8.5
Mana Tithe,46.4
Mana Vault,0
Managorger Hydra,0
Manamorphose,50
Manglehorn,35.9
Manic Vandal,75
Mardu Strike Leader,55.6
Mardu Woe-Reaper,44.4
Marionette Master,0
Marsh Flats,2.9
Massacre Wurm,75
Master Biomancer,33.3
Master of the Wild Hunt,15.8
Master of Waves,100
Mayor of Avabruck,100
Maze of Ith,36.1
Meloku the Clouded Mirror,29.4
Memory Jar,35.7
Memory Lapse,25
Mental Misstep,0
Meren of Clan Nel Toth,0
Merfolk Branchwalker,100
Mesmeric Fiend,27.3
Metallic Mimic,50
Metalworker,57.1
Metamorphic Alteration,100
Midnight Reaper,0
"Mikaeus, the Lunarch",0
Mimic Vat,50
Mind Stone,12.9
Mind Twist,0
Mind's Desire,100
Mindslaver,50
Mirari's Wake,40
Mirran Crusader,46.2
Mirri's Guile,0
Mirrodin's Core,0
Mirror Entity,62.5
Miscalculation,9.1
Mishra's Factory,25
Mishra's Workshop,16.7
Mist-Syndicate Naga,0
Misty Rainforest,9.5
Mizzium Mortars,30
Mizzium Tank,100
Moat,45.5
Monastery Mentor,6.1
Monastery Swiftspear,19.4
Morphling,0
Mother of Runes,32.5
Mountain,6.6
Mox Diamond,0
Mox Emerald,0
Mox Jet,0
Mox Pearl,0
Mox Ruby,0
Mox Sapphire,0
"Mu Yanling, Sky Dancer",33.3
Mulldrifter,6.1
Murderous Cut,50
Murderous Redcap,50
Mutavault,23.2
Myr Battlesphere,12.1
Mystic Confluence,5.2
Mystic Snake,61.5
Mystical Tutor,8.3
"Nahiri, the Harbinger",60
"Najeela, the Blade-Blossom",50
"Narset, Parter of Veils",50
Natural Order,19.4
Nature's Chant,100
Nature's Claim,66.7
Necromancy,25.7
Necropotence,100
Needle Spires,37.5
Negate,0
"Neheb, the Eternal",100
Nekrataal,44
Nether Void,42.9
Never // Return,36.4
Nevinyrral's Disk,50
Nexus of Fate,14.3
Nezumi Graverobber,50
Nezumi Shortfang,100
"Nicol Bolas, Dragon-God",100
"Nicol Bolas, God-Pharaoh",27.3
"Nicol Bolas, Planeswalker",40
"Nicol Bolas, the Ravager",50
Night Incarnate,50
Night's Whisper,58.3
Nightpack Ambusher,0
Nimble Obstructionist,0
"Nissa, Steward of Elements",70.8
"Nissa, Vastwood Seer",24.1
"Nissa, Voice of Zendikar",9.1
"Nissa, Who Shakes the World",0
"Nissa, Worldwaker",36
Noble Hierarch,2
Noose Constrictor,50
Noxious Gearhulk,16.7
Nurturing Peatland,50
"Nykthos, Shrine to Nyx",25
Oath of Druids,47.4
Oath of Nissa,13.6
Ob Nixilis Reignited,0
Oblivion Ring,15.9
Oblivion Stone,60
Obstinate Baloth,66.7
"Odric, Master Tactician",0
Ogre Battledriver,100
Olivia Voldaren,75
Olivia's Dragoon,100
Oona's Prowler,37.5
Ophiomancer,17.4
Opposition,30
Oracle of Mul Daya,13
"Oran-Rief, the Vastwood",100
Orzhov Signet,4.2
Overgrown Tomb,25.5
Pack Rat,8.5
Pact of Negation,100
Pain Seer,0
Painful Truths,50
Palace Jailer,12.7
Palinchron,66.7
Paradise Druid,100
Parallax Wave,27.3
Path to Exile,7.4
Pentad Prism,0
Pernicious Deed,68.2
Pestermite,14.3
Phantasmal Image,28.2
Phyrexian Arena,36.4
Phyrexian Metamorph,6.8
Phyrexian Obliterator,0
Phyrexian Rager,0
Phyrexian Revoker,13.3
Pia and Kiran Nalaar,46.7
Pia Nalaar,35
Pithing Needle,57.1
Plague Belcher,0
Plague Engineer,0
Plaguecrafter,0
Plains,6.6
Plateau,18.2
Plated Geopede,55.6
Plow Under,14.3
Polluted Delta,1.6
"Polukranos, World Eater",50
Ponder,2.9
Porcelain Legionnaire,27.1
Powder Keg,85.7
Power Sink,0
Precursor Golem,0
Preordain,5.1
Priest of Forgotten Gods,0
Primal Command,28.6
Primeval Titan,5.9
Prismatic Lens,16.7
Prismatic Vista,0
Profane Command,0
Progenitus,20
Prognostic Sphinx,0
Psychatog,63.6
Pteramander,0
Puppeteer Clique,100
"Purphoros, God of the Forge",25
Putrid Imp,44.4
Pyretic Ritual,100
Pyroclasm,60
Qasali Pridemage,45.5
Quicksilver Amulet,0
Raging Ravine,37.5
Raise the Alarm,0
Rakdos Cackler,18.2
Rakdos Signet,9.1
Rakdos's Return,66.7
Ral Zarek,11.1
Rampaging Baloths,0
Rampaging Ferocidon,0
Rampant Growth,6.2
Ramunap Excavator,33.3
Rancor,46.2
Ranger of Eos,0
Ranger-Captain of Eos,0
Ratchet Bomb,50
Ravages of War,30
Ravenous Chupacabra,21.6
Razorverge Thicket,60
Reality Smasher,40
Reanimate,15.4
Reckless Bushwhacker,33.3
Reclamation Sage,14.8
Recruiter of the Guard,22.7
Recurring Nightmare,25
Reflector Mage,0
Regal Behemoth,11.1
Regisaur Alpha,100
Regrowth,37.9
Rekindling Phoenix,40
Relentless Dead,0
Relic of Progenitus,100
Remand,11.5
Remorseful Cleric,65.4
Repeal,0
Resplendent Angel,0
Restoration Angel,19.6
Retrofitter Foundry,33.3
Reveillark,32.6
Rift Bolt,25
Riftwing Cloudskate,30.8
Righteous Confluence,0
Ripjaw Raptor,100
Rishadan Port,36.1
"Rishkar, Peema Renegade",50
Risk Factor,100
Rite of Flame,66.7
Rix Maadi Reveler,0
"Rofellos, Llanowar Emissary",15.2
Rolling Earthquake,21.6
Rootbound Crag,0
Rotting Regisaur,100
Ruin Raider,0
Runaway Steam-Kin,50
Sacred Foundry,39
Sage of Fables,100
Sagu Mauler,75
"Saheeli, Sublime Artificer",50
"Saheeli, the Gifted",47.8
Sakura-Tribe Elder,3.3
Sarcomancy,47.1
Sarkhan the Masterless,0
Sarkhan Vol,37.5
"Sarkhan, the Dragonspeaker",26.3
Savannah,11.8
Savannah Lions,0
Scalding Tarn,8.3
Scatter to the Winds,0
Scattered Groves,0
Scavenging Ooze,57.9
Scrapheap Scrounger,27.3
Scroll Rack,51.9
Scrubland,16.1
Scute Mob,100
Scythe Leopard,0
Sea Gate Oracle,0
Seachrome Coast,14.3
Seal of Cleansing,75
Search for Azcanta,5.3
Search for Tomorrow,42.9
Searing Blaze,0
Searing Spear,41.7
Seasoned Pyromancer,33.3
Secure the Wastes,40
Seeker of the Way,50
Seething Song,50
Selesnya Signet,36.4
Selfless Spirit,19.2
Selvala's Stampede,40.9
Sensei's Divining Top,6.2
Serendib Efreet,0
Serra the Benevolent,25
Serum Visions,9.1
Settle the Wreckage,100
Shadowmage Infiltrator,0
Shallow Grave,33.3
Shambling Vent,17.5
Shardless Agent,33.3
Shelldock Isle,15.8
"Sheoldred, Whispering One",36.4
Shivan Reef,3.7
Show and Tell,23.1
Shriekmaw,4.5
Shrine of Burning Rage,40
"Sidisi, Brood Tyrant",0
Siege-Gang Commander,38.2
"Sigarda, Host of Herons",100
Silent Clearing,0
Silverblade Paladin,37.5
Simic Signet,15.4
Sin Prodder,0
Sinkhole,18.2
Sire of Insanity,50
Skinrender,36.4
Skullclamp,8
Skymarcher Aspirant,25
Slagstorm,100
Sleight of Hand,0
Smallpox,40
Smash to Smithereens,16.7
Smokestack,44
Smuggler's Copter,19.5
Snapcaster Mage,3
Sneak Attack,16.1
Snuff Out,29.6
Sol Ring,0
Soldier of the Pantheon,57.9
Solemn Simulacrum,8.1
Soltari Priest,0
Soltari Trooper,45.5
Song of the Dryads,50
Sorcerous Spyglass,55.6
"Sorin, Lord of Innistrad",20
"Sorin, Solemn Visitor",50
Soul-Scar Mage,42.9
Soulfire Grand Master,88.9
Soulherder,100
Sower of Temptation,7.7
Spawn of Mayhem,33.3
Spear of Heliod,45.5
Spectral Procession,40
Spell Pierce,15.4
Spell Queller,54.5
Spellseeker,0
Spellskite,47.4
Sphinx of the Steel Wind,26.9
Sphinx's Revelation,50
Spirebluff Canal,10
Spirit of the Labyrinth,100
Splinter Twin,27.6
Sram's Expertise,50
Stalking Leonin,0
Stasis Snare,50
Steam Vents,12.8
Steppe Lynx,30.8
Stirring Wildwood,38.5
Stoke the Flames,50
Stomping Ground,17.1
Stoneforge Mystic,22.4
Stormblood Berserker,42.3
Stormbreath Dragon,75
Strip Mine,0
Stromkirk Noble,18.8
Student of Warfare,39.5
Subterranean Tremors,56.2
Sulfuric Vortex,24.4
Sulfurous Springs,17.1
Sun Titan,23.1
Sunbaked Canyon,33.3
Sunder,100
Sundering Titan,20.6
Supreme Verdict,17.6
Supreme Will,0
"Surrak, the Hunt Caller",66.7
Survival of the Fittest,19.6
Swamp,4.6
Sweltering Suns,60
Sword of Body and Mind,26.9
Sword of Feast and Famine,16.7
Sword of Fire and Ice,12
Sword of Light and Shadow,55
Sword of Sinew and Steel,66.7
Sword of the Animist,0
Sword of Truth and Justice,0
Sword of War and Peace,35.7
Swords to Plowshares,2.8
Sylvan Advocate,26.3
Sylvan Caryatid,3.3
Sylvan Library,5.7
Taiga,17.6
"Tajic, Legion's Edge",0
Talisman of Conviction,22.2
Talisman of Creativity,0
Talisman of Curiosity,0
Talisman of Dominance,0
Talisman of Hierarchy,0
Talisman of Impulse,7.7
Talisman of Indulgence,4.5
Talisman of Progress,0
Talisman of Resilience,0
Talisman of Unity,12
"Talrand, Sky Summoner",0
"Tamiyo, Field Researcher",0
"Tamiyo, the Moon Sage",75
Tangle Wire,31.6
Tarmogoyf,25.9
"Tasigur, the Golden Fang",42.9
"Teferi, Hero of Dominaria",17.2
"Teferi, Time Raveler",0
Temple Garden,25.4
Tendo Ice Bridge,4.8
Tendrils of Agony,100
Terastodon,26.1
Terminate,40
Terminus,100
Terramorphic Expanse,0
Terror,0
"Tetzimoc, Primal Death",0
"Teysa, Orzhov Scion",0
Tezzeret the Seeker,0
"Tezzeret, Agent of Bolas",0
"Tezzeret, Artifice Master",37.5
"Thalia, Guardian of Thraben",32
"Thalia, Heretic Cathar",13
Thalia's Lancers,33.3
The Abyss,42.9
The Antiquities War,61.5
The Gitrog Monster,0
The Scarab God,31.6
Thief of Sanity,0
Thing in the Ice,52.6
Thirst for Knowledge,30.4
Thought Vessel,0
Thought-Knot Seer,14.3
Thoughtseize,4.3
Thousand-Year Storm,100
Thraben Inspector,11.1
Thragtusk,22.9
Thran Dynamo,6.7
Thrashing Brontodon,0
Through the Breach,14.8
Thrummingbird,100
"Thrun, the Last Troll",33.3
Thunderbreak Regent,100
Thundermaw Hellkite,31.4
Tidehollow Sculler,42.9
Time Spiral,52.6
Time Walk,0
Time Warp,0
Timely Reinforcements,85.7
Timetwister,29.4
Tinker,20.6
Tireless Tracker,13.3
Tithe Taker,100
Tolarian Academy,34.6
Tombstalker,66.7
Toolcraft Exemplar,0
Tooth and Nail,52.6
Tormented Hero,83.3
Torrential Gearhulk,41.7
Toxic Deluge,19.1
Tragic Slip,0
Trash for Treasure,100
Treachery,6.5
Treasure Cruise,25
Treasure Map,12.5
Treetop Village,14.3
Trinket Mage,8.3
Triskelion,46.2
Tropical Island,18.4
Trostani Discordant,33.3
True-Name Nemesis,9.3
Trueheart Duelist,0
Trumpeting Herd,50
Trygon Predator,64.3
Tundra,8.2
Turnabout,85.7
"Ugin, the Spirit Dragon",22.2
"Ulamog, the Ceaseless Hunger",8.7
"Ulamog, the Infinite Gyre",28.6
Ultimate Price,40
Ulvenwald Tracker,100
Umezawa's Jitte,8.3
Unbreakable Formation,100
Unburial Rites,75
Underground River,0
Underground Sea,4.8
Undiscovered Paradise,26.3
Unexpectedly Absent,21.7
Upheaval,34.1
"Urborg, Tomb of Yawgmoth",0
"Urza, Lord High Artificer",0
Utopia Sprawl,0
Vampire Hexmage,75
Vampire Lacerator,100
Vampire Nighthawk,51.6
Vampiric Tutor,6.8
Vedalken Shackles,33.3
Vendilion Clique,8.5
Vengevine,0
"Venser, Shaper Savant",9.1
Verdant Catacombs,3
Verdurous Gearhulk,27.8
Vial Smasher the Fierce,0
Viashino Pyromancer,100
Victim of Night,100
Vindicate,15.6
Vindictive Lich,0
Vivien Reid,60
Vivien's Arkbow,80
Vizier of Many Faces,0
Voice of Resurgence,42.9
Volcanic Hammer,100
Volcanic Island,6.1
Voldaren Pariah,100
Volrath's Stronghold,36.8
Voracious Hydra,66.7
Vorapede,75
"Vraska, Golgari Queen",25
"Vraska, Relic Seeker",71.4
Vraska's Contempt,26.7
Walking Ballista,11.9
Wall of Blossoms,71.4
Wall of Omens,38.5
Wall of Roots,21.4
Wandering Fumarole,15
War-Name Aspirant,0
Warden of the First Tree,38.1
Wasteland,10.7
Waterfront Bouncer,33.3
Waterlogged Grove,50
Watery Grave,7
Wear // Tear,0
Westvale Abbey,0
Wheel of Fortune,22.7
Whirler Rogue,34.8
Whisperwood Elemental,50
Wickerbough Elder,50
Wild Growth,100
Wild Mongrel,54.5
Wild Nacatl,0
Wildfire,75
Will Kenrith,27.3
Windbrisk Heights,100
Winds of Abandon,16.7
Windswept Heath,1.5
Winter Orb,34.8
Wooded Foothills,4.1
Woodfall Primus,19.6
Worldly Tutor,50
Worldspine Wurm,0
Worn Powerstone,33.3
Wrath of God,40
Wrenn and Six,0
Wretched Confluence,0
Wurmcoil Engine,7.3
"Xenagos, the Reveler",35.7
Yahenni's Expertise,0
Yavimaya Coast,19.2
Yavimaya Elder,26.3
"Yawgmoth, Thran Physician",50
Yawgmoth's Bargain,100
Yawgmoth's Will,50
Young Pyromancer,22.5
Zealous Conscripts,40
Zealous Persecution,50
Zulaport Cutthroat,100
Zurgo Bellstriker,27.5
