name,color,cmc,manaCost,types,count,pips,colorType,colordiff,cmcdiff,pipdiff,colortypediff,power,newcc
"Avacyn, Angel of Hope",White,8,{5}{W}{W}{W},Creature,1,ramp/cheat,Monocolored,-0.952719919084015,-1.17939225613134,-1.14555974401705,-1.02995639775463,-4.307628316987035,0
Avacyn's Pilgrim,Green,1,{G},Creature,12,1,Monocolored,-0.241302336792689,-0.385324107646306,-0.229714272176964,-0.209097437131503,-1.065438153747462,1.3697995278304822
Avalanche Riders,Red,4,{3}{R},Creature,4,1,Monocolored,-0.837063266717785,-0.751988906649176,-0.840132513884466,-0.806085772130143,-3.23527045938157,0
Avatar of the Resolute,Green,2,{G}{G},Creature,2,2,Monocolored,-1.01515822738148,-1.06154410036696,-0.860893664170678,-0.955332855879803,-3.8929288477989212,0.10171792645868599
Avenger of Zendikar,Green,7,{5}{G}{G},Creature,2,2,Monocolored,-1.01515822738148,-1.49559331299791,-0.860893664170678,-0.955332855879803,-4.326978060429871,0
Awakening Zone,Green,3,{2}{G},Enchantment,1,1,Monocolored,-1.09254381644036,-0.849381048110764,-1.06903935452478,-1.02995639775463,-4.040920616830534,0
Balance,White,2,{1}{W},Sorcery,34,1,Monocolored,1.22916487921168,1.49062804176248,1.44893589251867,1.43262048411476,5.60134929760759,0.9746869241242939
Baleful Strix,Blue Black,2,{U}{B},Artifact Creature,31,2,Multicolored,2.11063394654334,1.25136190343784,1.32979777544679,2.11063394654334,6.802427571971311,1.234152618375542
Baneslayer Angel,White,5,{3}{W}{W},Creature,2,2,Monocolored,-0.88660219792354,-0.897196975619655,-0.860893664170678,-0.955332855879803,-3.600025693593676,0
Banisher Priest,White,3,{1}{W}{W},Creature,3,2,Monocolored,-0.820484476763064,-0.693575072041779,-0.785352580045938,-0.880709314004973,-3.180121442855754,0.19330466391038387
Banishing Light,White,3,{2}{W},Enchantment,27,1,Monocolored,0.766340831088349,1.17609664078603,0.914819931024603,0.910255690990947,3.7675130938899293,0.5616152840546286
"Baral, Chief of Compliance",Blue,2,{1}{U},Creature,4,1,Monocolored,-0.832491524011531,-0.902033341483874,-0.840132513884466,-0.806085772130143,-3.3807431515100137,0
Basalt Monolith,Colorless,3,{3},Artifact,9,0,Colorless,-0.610344966053697,-0.226157143834827,-0.646333352707611,-0.610344966053697,-2.093180428649832,0
Batterskull,Colorless,5,{5},Artifact,28,0,Colorless,0.799384157442424,1.08560834049978,0.719636153887101,0.799384157442421,3.404012809271726,0
Beast Within,Green,3,{2}{G},Instant,2,1,Monocolored,-1.01515822738148,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.734706217648897,0
Benalish Marshal,White,3,{W}{W}{W},Creature,1,3,Monocolored,-0.952719919084015,-0.849381048110764,-0.799966082859698,-1.02995639775463,-3.632023447809107,0.31333267884212834
Berserk,Green,1,{G},Instant,1,1,Monocolored,-1.09254381644036,-1.21316887016767,-1.06903935452478,-1.02995639775463,-4.40470843888744,0
Birds of Paradise,Green,1,{G},Creature,38,1,Monocolored,1.77072297873818,1.57139987649509,1.75414501337242,1.73111465161408,6.8273825202197695,2.4704173957086506
Birthing Pod,Colorless,4,{3}{G/P},Artifact,11,0,Colorless,-0.461952426738316,-0.255321465802973,-0.502547088855536,-0.461952426738316,-1.681773408135141,0
Bitterblossom,Black,2,{1}{B},Tribal Enchantment,36,1,Monocolored,1.67454595782331,1.65013880064557,1.60154045294554,1.58186756786442,6.50809277927884,1.749903327251779
Blade Splicer,White,3,{2}{W},Creature,37,1,Monocolored,1.4275180426931,1.95512652113095,1.67784273315898,1.65649110973925,6.71697840672228,1.3624266471146387
Blightsteel Colossus,Colorless,12,{12},Artifact Creature,13,ramp/cheat,Colorless,-0.313559887422935,0.536087389150609,0.309119296004602,-0.313559887422935,0.21808691030934108,0
Blood Artist,Black,2,{1}{B},Creature,3,1,Monocolored,-0.846744392700253,-0.981788720925419,-0.916434794097904,-0.880709314004973,-3.6256772217285493,0
Bloodbraid Elf,Red Green,4,{2}{R}{G},Creature,22,2,Multicolored,1.21717540475506,0.525155941241062,0.64992801832413,1.21717540475506,3.609434769075312,0.7298557437668683
Bloodghast,Black,2,{B}{B},Creature,16,2,Monocolored,0.146491199930245,0.055031211814666,0.196681513575688,0.0893967303678166,0.4876006556884156,1.7024911209553266
Bloodsoaked Champion,Black,1,{B},Creature,23,1,Monocolored,0.68131036519282,0.442520654875055,0.609610810170852,0.611761523491627,2.345203353730354,1.9940474952508072
Bomat Courier,Colorless,1,{1},Artifact Creature,4,0,Colorless,-0.981326314342146,-0.98739302584366,-1.0057990123378,-0.981326314342149,-3.955844666865755,0
Bone Shredder,Black,3,{2}{B},Creature,2,1,Monocolored,-0.923147130594907,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.642695120862324,0
Bonehoard,Colorless,4,{4},Artifact,1,0,Colorless,-1.20391512331522,-0.964846381297549,-1.22147840811591,-1.20391512331522,-4.594155036043899,0
Bonesplitter,Colorless,1,{1},Artifact,27,0,Colorless,0.725187887784731,0.743555113973732,0.647743021961063,0.725187887784731,2.841673911504257,0
Bonfire of the Damned,Red,1,{X}{X}{R},Sorcery,1,1,Monocolored,-1.08798467082438,-1.21316887016767,-1.06903935452478,-1.02995639775463,-4.400149293271459,0
Bontu's Last Reckoning,Black,3,{1}{B}{B},Sorcery,1,2,Monocolored,-0.999549868489561,-0.849381048110764,-0.936434748295418,-1.02995639775463,-3.815322062650373,0
Boros Charm,White Red,2,{R}{W},Instant,18,2,Multicolored,0.820082719515819,0.214541970697756,0.347763681825169,0.820082719515819,2.202471091554563,0.6406384968701575
Boros Signet,Colorless,2,{2},Artifact,29,0,Colorless,0.873580427100115,1.09185114455475,0.791529285813138,0.873580427100112,3.630541284568115,0
"Bosh, Iron Golem",Colorless,8,{8},Artifact Creature,3,ramp/cheat,Colorless,-1.05552258399984,-0.893478981917682,-0.903113237346778,-1.05552258399984,-3.9076373872641397,0
"Braids, Cabal Minion",Black,4,{2}{B}{B},Creature,27,2,Monocolored,0.986921316771432,0.87991839898835,1.02763343894783,0.910255690990947,3.804728845698559,1.4821417654226714
Brain Maggot,Black,2,{1}{B},Enchantment Creature,2,1,Monocolored,-0.923147130594907,-1.06154410036696,-0.992737074311342,-0.955332855879803,-3.932761161153012,0
Brainstorm,Blue,1,{U},Instant,22,1,Monocolored,0.468404321863982,0.367262040100386,0.533308529957414,0.537137981616797,1.906112873538579,0.8337946544375667
Briarhorn,Green,4,{3}{G},Creature,2,1,Monocolored,-1.01515822738148,-0.893893889748092,-0.992737074311342,-0.955332855879803,-3.857122047320717,0
Bribery,Blue,5,{3}{U}{U},Sorcery,28,2,Monocolored,0.902036270489153,1.08560834049978,1.10317452307257,0.984879232865777,4.07569836692728,0.9528373637279689
Brightling,White,3,{1}{W}{W},Creature,2,2,Monocolored,-0.88660219792354,-0.771478060076272,-0.860893664170678,-0.955332855879803,-3.474306778050293,0.016983770435062696
"Brimaz, King of Oreskos",White,3,{1}{W}{W},Creature,36,2,Monocolored,1.36140032153263,1.87722353309646,1.7075031960705,1.58186756786442,6.52799461856401,2.0393132837745833
Bring to Light,Blue Green,5,{3}{G}{U},Sorcery,1,2,Multicolored,-0.867561192750945,-0.973458718547326,-0.936434748295418,-0.867561192750945,-3.645015852344634,0
Buried Alive,Black,3,{2}{B},Sorcery,3,1,Monocolored,-0.846744392700253,-0.693575072041779,-0.916434794097904,-0.880709314004973,-3.3374635728449094,0
Burning of Xinye,Red,6,{4}{R}{R},Sorcery,19,2,Monocolored,0.417543753815167,0.371013938377818,0.423304765949909,0.313267355992307,1.525129814135201,0.48936648677758665
Burst Lightning,Red,1,{R},Instant,33,1,Monocolored,1.58851030631259,1.19510680262175,1.37263361230523,1.35799694223993,5.5142476634795,1.2541189690423116
Cabal Ritual,Black,2,{1}{B},Instant,1,1,Monocolored,-0.999549868489561,-1.14129947980851,-1.06903935452478,-1.02995639775463,-4.239845100577481,0
Captain of the Watch,White,6,{4}{W}{W},Creature,1,2,Monocolored,-0.952719919084015,-1.22314917749074,-0.936434748295418,-1.02995639775463,-4.142260242624802,0
Careful Study,Blue,1,{U},Sorcery,3,1,Monocolored,-0.90476351544906,-1.06265164061833,-0.916434794097904,-0.880709314004973,-3.7645592641702668,0
Carnage Tyrant,Green,6,{4}{G}{G},Creature,23,2,Monocolored,0.609939142854988,0.725272408570832,0.725469102448871,0.611761523491627,2.672442177366318,0.9390226824667701
Carnophage,Black,1,{B},Creature,20,1,Monocolored,0.452102151508859,0.216744810551047,0.380703969530539,0.387890897867137,1.437441829457582,1.8621312297482637
Carrion Feeder,Black,1,{B},Creature,5,1,Monocolored,-0.693938916910944,-0.912134411068991,-0.763830233671028,-0.731462230255313,-3.101365791906276,0.641134789839181
Cast Down,Black,2,{1}{B},Instant,2,1,Monocolored,-0.923147130594907,-1.06154410036696,-0.992737074311342,-0.955332855879803,-3.932761161153012,0
Cast Out,White,4,{3}{W},Enchantment,3,1,Monocolored,-0.820484476763064,-0.822941398198634,-0.916434794097904,-0.880709314004973,-3.440569983064575,0
Catastrophe,White,6,{4}{W}{W},Sorcery,16,2,Monocolored,0.0390458983231155,0.105320085733058,0.196681513575688,0.0893967303678166,0.4304442279996781,0.3057265794243946
Cemetery Reaper,Black,3,{1}{B}{B},Creature,1,2,Monocolored,-0.999549868489561,-0.849381048110764,-0.936434748295418,-1.02995639775463,-3.815322062650373,0
Censor,Blue,2,{1}{U},Instant,2,1,Monocolored,-0.977035506886588,-1.06154410036696,-0.992737074311342,-0.955332855879803,-3.986649537444693,0
Chain Lightning,Red,1,{R},Sorcery,32,1,Monocolored,1.50486983827706,1.11984818784708,1.29633133209179,1.2833734003651,5.20442275858103,1.224208941425615
Chainer's Edict,Black,2,{1}{B},Sorcery,9,1,Monocolored,-0.38832796533233,-0.503256444276149,-0.458621112817277,-0.432968062755993,-1.783173585181749,0.47524810752748986
Champion of Wits,Blue,3,{2}{U},Creature,3,1,Monocolored,-0.90476351544906,-0.693575072041779,-0.916434794097904,-0.880709314004973,-3.395482695593716,0
"Chandra, Fire of Kaladesh",Red,3,{1}{R}{R},Creature,2,2,Monocolored,-1.00434420278885,-0.771478060076272,-0.860893664170678,-0.955332855879803,-3.592048782915603,0
"Chandra, Flamecaller",Red,6,{4}{R}{R},Planeswalker,21,2,Monocolored,0.584824689886228,0.548143173474325,0.57438693419939,0.462514439741967,2.16986923730191,0.5835930558500072
"Chandra, Pyromaster",Red,4,{2}{R}{R},Planeswalker,3,2,Monocolored,-0.920703734753316,-0.822941398198634,-0.785352580045938,-0.880709314004973,-3.409707027002861,0
"Chandra, Torch of Defiance",Red,4,{2}{R}{R},Planeswalker,33,2,Monocolored,1.58851030631259,1.3056333482851,1.48087994369627,1.35799694223993,5.733020540533889,1.274712732603218
Chandra's Phoenix,Red,3,{1}{R}{R},Creature,2,2,Monocolored,-1.00434420278885,-0.771478060076272,-0.860893664170678,-0.955332855879803,-3.592048782915603,0
Channel,Green,2,{G}{G},Sorcery,13,2,Monocolored,-0.163916747733809,-0.184234926509969,-0.0299417387985335,-0.134473895256673,-0.5125673082989844,0.8081335740781244
Char,Red,3,{2}{R},Instant,32,1,Monocolored,1.50486983827706,1.56561158095849,1.29633133209179,1.2833734003651,5.6501861516924405,0.7561394586007314
Chart a Course,Blue,2,{1}{U},Sorcery,24,1,Monocolored,0.612948304739039,0.693074247347026,0.68591309038429,0.686385065366457,2.6783207078368125,0.6521065042968324
Chrome Mox,Colorless,0,{0},Artifact,68,0,Colorless,3.76723494375004,1.41294541865886,3.5953614309286,3.76723494375004,12.54277673708754,0
Cloudgoat Ranger,White,5,{3}{W}{W},Creature,18,2,Monocolored,0.171281340644066,0.322990911223076,0.347763681825169,0.238643814117477,1.080679747809788,0.8888257584813063
Coalition Relic,Colorless,3,{3},Artifact,39,0,Colorless,1.61554312367702,2.11093249719994,1.51046060507351,1.61554312367702,6.85247934962749,0
Coldsteel Heart,Colorless,2,{2},Artifact,29,0,Colorless,0.873580427100115,1.09185114455475,0.791529285813138,0.873580427100112,3.630541284568115,0
Collected Company,Green,4,{3}{G},Instant,3,1,Monocolored,-0.937772638322604,-0.822941398198634,-0.916434794097904,-0.880709314004973,-3.5578581446241153,0
Collective Brutality,Black,2,{1}{B},Sorcery,17,1,Monocolored,0.222893937824899,0.134786591256211,0.151797128890225,0.164020272242647,0.673497930213982,1.0426586658724648
Collective Defiance,Red,3,{1}{R}{R},Sorcery,2,2,Monocolored,-1.00434420278885,-0.771478060076272,-0.860893664170678,-0.955332855879803,-3.592048782915603,0
Combat Celebrant,Red,3,{2}{R},Creature,8,1,Monocolored,-0.502501394575666,-0.304060131869319,-0.534923393030715,-0.507591604630823,-1.8490765241065232,0.04908328815470872
Commune with the Gods,Green,2,{1}{G},Sorcery,1,1,Monocolored,-1.09254381644036,-1.14129947980851,-1.06903935452478,-1.02995639775463,-4.33283904852828,0
Compulsive Research,Blue,3,{2}{U},Sorcery,1,1,Monocolored,-1.04930749832412,-0.849381048110764,-1.06903935452478,-1.02995639775463,-3.9976842987142938,0
Condemn,White,1,{W},Instant,1,1,Monocolored,-0.952719919084015,-1.21316887016767,-1.06903935452478,-1.02995639775463,-4.264884541531095,0
Condescend,Blue,1,{X}{U},Instant,46,1,Monocolored,2.20293211636467,2.17346879469245,2.36456325507992,2.32810298661272,9.06906715274976,1.545366279815992
Confiscation Coup,Blue,5,{3}{U}{U},Sorcery,1,2,Monocolored,-1.04930749832412,-0.973458718547326,-0.936434748295418,-1.02995639775463,-3.989157362921494,0
Consecrated Sphinx,Blue,6,{4}{U}{U},Creature,21,2,Monocolored,0.396132330426454,0.548143173474325,0.57438693419939,0.462514439741967,1.981176877842136,0.8446052210342923
Consul's Lieutenant,White,2,{W}{W},Creature,1,2,Monocolored,-0.952719919084015,-1.14129947980851,-0.936434748295418,-1.02995639775463,-4.060410544942574,0
Control Magic,Blue,4,{2}{U}{U},Enchantment,44,2,Monocolored,2.05838813348961,2.08611075532913,2.31183186906842,2.17885590286306,8.63518666075022,1.5140414173597359
Corpse Dance,Black,3,{2}{B},Instant,1,1,Monocolored,-0.999549868489561,-0.849381048110764,-1.06903935452478,-1.02995639775463,-3.947926668879735,0
Council's Judgment,White,3,{1}{W}{W},Sorcery,44,2,Monocolored,1.89034209081643,2.5004474373724,2.31183186906842,2.17885590286306,8.88147730012031,1.7142646512670832
Counterspell,Blue,2,{U}{U},Instant,30,2,Monocolored,1.04658025336421,1.1716065239963,1.25425669132205,1.13412631661544,4.606569785298,1.5693000364865703
Courser of Kruphix,Green,3,{1}{G}{G},Enchantment Creature,30,2,Monocolored,1.15163826626715,1.40980560488951,1.25425669132205,1.13412631661544,4.94982687909415,1.8920900438249562
Craterhoof Behemoth,Green,8,{5}{G}{G}{G},Creature,26,3,Monocolored,0.842095910031628,2.39452367153939,1.41099545268218,0.835632149116117,5.483247183369315,1.3689492236302383
Crucible of Worlds,Colorless,3,{3},Artifact,17,0,Colorless,-0.0167748087921736,0.39706676044111,-0.0711882972993115,-0.0167748087921736,0.2923288455574513,0
Cryptbreaker,Black,1,{B},Creature,4,1,Monocolored,-0.7703416548056,-0.98739302584366,-0.840132513884466,-0.806085772130143,-3.403952966663869,0.4675299681022537
Cryptic Command,Blue,4,{1}{U}{U}{U},Instant,21,3,Monocolored,0.396132330426454,0.454203449691604,0.968803145573805,0.462514439741967,2.28165336543383,1.2922107664994478
Crystal Shard,Colorless,3,{3},Artifact,9,0,Colorless,-0.610344966053697,-0.226157143834827,-0.646333352707611,-0.610344966053697,-2.093180428649832,0
Cultivate,Green,3,{2}{G},Sorcery,16,1,Monocolored,0.0682400194428302,0.319163772406618,0.0754948486767876,0.0893967303678166,0.5522953708940523,0.10477351016473764
Curse of Disturbance,Black,3,{2}{B},Enchantment,2,1,Monocolored,-0.923147130594907,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.642695120862324,0
Curse of Predation,Green,3,{2}{G},Enchantment,2,1,Monocolored,-1.01515822738148,-0.771478060076272,-0.992737074311342,-0.955332855879803,-3.734706217648897,0
Cursed Scroll,Colorless,1,{1},Artifact,12,0,Colorless,-0.387756157080626,-0.385324107646306,-0.430653956929499,-0.387756157080626,-1.591490378737057,0
Custodi Lich,Black,5,{3}{B}{B},Creature,29,2,Monocolored,1.13972679256074,1.16187008342745,1.17871560719731,1.05950277474061,4.53981525792611,1.339183388401273
Cyclonic Rift,Blue,2,{1}{U},Instant,3,1,Monocolored,-0.90476351544906,-0.981788720925419,-0.916434794097904,-0.880709314004973,-3.683696344477356,0
Cytoplast Root-Kin,Green,4,{2}{G}{G},Creature,1,2,Monocolored,-1.09254381644036,-0.964846381297549,-0.936434748295418,-1.02995639775463,-4.023781343787958,0
Dack Fayden,Blue Red,3,{1}{U}{R},Planeswalker,18,2,Multicolored,0.820082719515819,0.474969748475602,0.347763681825169,0.820082719515819,2.462898869332409,0.5468265976214814
Damnation,Black,4,{2}{B}{B},Sorcery,33,2,Monocolored,1.44533774413935,1.3056333482851,1.48087994369627,1.35799694223993,5.58984797836065,1.6667486237435953
Dance of the Dead,Black,2,{1}{B},Enchantment,11,1,Monocolored,-0.235522489543023,-0.343745685393059,-0.306016552390401,-0.283720979006333,-1.169005706332816,0.6499771956422351
"Daretti, Ingenious Iconoclast",Black Red,3,{1}{B}{R},Planeswalker,21,2,Multicolored,1.11790223344525,0.708678712579079,0.57438693419939,1.11790223344525,3.518870113668969,0.8684093040861294
"Daretti, Scrap Savant",Red,4,{3}{R},Planeswalker,9,1,Monocolored,-0.418860926540136,-0.397226448901888,-0.458621112817277,-0.432968062755993,-1.707676551015294,0
Darigaaz Reincarnated,Black Red Green,7,{4}{B}{R}{G},Creature,7,3,Multicolored,-0.271922164892087,-0.957961729894088,-0.269335314329647,-0.271922164892087,-1.7711413740079092,0.16241542391638428
Dark Confidant,Black,2,{1}{B},Creature,37,1,Monocolored,1.75094869571797,1.72989418008711,1.67784273315898,1.65649110973925,6.815176718703309,1.7762376871150425
Dark Ritual,Black,1,{B},Instant,19,1,Monocolored,0.375699413614206,0.141486195776378,0.304401689317101,0.313267355992307,1.134854654699992,1.8139863867167891
Dauntless Bodyguard,White,1,{W},Creature,31,1,Monocolored,1.03081171573025,1.04458957307241,1.22002905187835,1.20874985849027,4.50418019917128,2.2517317227910576
Day of Judgment,White,4,{2}{W}{W},Sorcery,17,2,Monocolored,0.105163619483591,0.170393483493773,0.272222597700428,0.164020272242647,0.7117999729204391,0.6439219170095812
Daze,Blue,2,{1}{U},Instant,21,1,Monocolored,0.396132330426454,0.453808109022391,0.457006249743977,0.462514439741967,1.7694611289347888,0.5261271257285789
Death,Black,2,{1}{B},Sorcery,13,1,Monocolored,-0.0827170137537156,-0.184234926509969,-0.153411991963526,-0.134473895256673,-0.55483782748388355,0.7986691719959826
Deathrite Shaman,Colorless,1,{B/G},Creature,10,0,Colorless,-0.536148696396007,-0.535841337195645,-0.574440220781574,-0.536148696396007,-2.182578950769233,0
Deceiver Exarch,Blue,3,{2}{U},Creature,17,1,Monocolored,0.10704436467634,0.39706676044111,0.151797128890225,0.164020272242647,0.8199285262503221,0.6626756922868252
Declaration in Stone,White,2,{1}{W},Sorcery,29,1,Monocolored,0.8985762734093,1.09185114455475,1.06742449145148,1.05950277474061,4.11735468415614,0.823885344329982
Deep Analysis,Blue,4,{3}{U},Sorcery,13,1,Monocolored,-0.182043601073775,-0.113416482704057,-0.153411991963526,-0.134473895256673,-0.583345970998031,0
Delver of Secrets,Blue,1,{U},Creature,1,1,Monocolored,-1.04930749832412,-1.21316887016767,-1.06903935452478,-1.02995639775463,-4.3614721207712,0
Demonic Tutor,Black,2,{1}{B},Sorcery,51,1,Monocolored,2.82058702624312,2.84646949226874,2.74607465614711,2.70122069598687,11.11435187064584,2.0865631148881527
Demonlord Belzenlok,Black,6,{4}{B}{B},Creature,1,2,Monocolored,-0.999549868489561,-1.22314917749074,-0.936434748295418,-1.02995639775463,-4.189090192030349,0
Den Protector,Green,2,{1}{G},Creature,14,1,Monocolored,-0.0865311586749292,-0.104479547068424,-0.077109711750088,-0.0598503533818434,-0.3279707708752846,0.8484463211802966
Deranged Hermit,Green,5,{3}{G}{G},Creature,36,2,Monocolored,1.61595180062042,1.69570228392115,1.7075031960705,1.58186756786442,6.601024848476491,1.5348027113422142
Devil's Play,Red,1,{X}{R},Sorcery,3,1,Monocolored,-0.920703734753316,-1.06265164061833,-0.916434794097904,-0.880709314004973,-3.780499483474523,0
Devoted Druid,Green,2,{1}{G},Creature,1,1,Monocolored,-1.09254381644036,-1.14129947980851,-1.06903935452478,-1.02995639775463,-4.33283904852828,0
Diabolic Edict,Black,2,{1}{B},Instant,20,1,Monocolored,0.452102151508859,0.374052729580846,0.380703969530539,0.387890897867137,1.594749748487381,1.1931266592468281
