Name,sb%
Commune with the Gods,0
Compulsive Research,15.4
Concealed Courtyard,39.1
Conclave Tribunal,0
Condemn,84.2
Condescend,10.6
Confiscation Coup,0
Connive // Concoct,0
Consecrated Sphinx,22.5
Consul's Lieutenant,0
Consume Spirit,100
Contagion Clasp,0
Containment Priest,73.9
Control Magic,13.2
Copperline Gorge,50
Corpse Dance,80
Corpse Knight,0
Council's Judgment,15.1
Counterspell,9.6
Courser of Kruphix,24.1
Court of Bounty,50
Court of Grace,33.3
Court of Ire,0
Cragcrown Pathway,66.7
Crashing Footfalls,0
Crater's Claws,0
Craterhoof Behemoth,31.4
Crawling Barrens,66.7
Creeping Tar Pit,23.1
Crucible of Worlds,44.1
Cruel Celebrant,100
Crumbling Vestige,100
Crux of Fate,100
Cryptbreaker,40
Cryptic Command,31.6
Crystal Shard,80
Cultivate,46.7
Curator of Mysteries,25
Curse of Disturbance,57.1
Curse of Predation,50
Curse of Shallow Graves,0
Cursed Scroll,66.7
Custodi Lich,34.3
Cyclonic Rift,50
Cytoplast Root-Kin,100
Dack Fayden,15.9
"Dalakos, Crafter of Wonders",100
Damnation,55.3
Dance of the Dead,47.1
"Daretti, Ingenious Iconoclast",45.2
"Daretti, Scrap Savant",53.8
Darigaaz Reincarnated,66.7
Dark Confidant,27.4
Dark Depths,0
Dark Petition,69.2
Dark Ritual,59.1
Dark-Dweller Oracle,50
Darkslick Shores,16.7
Darksteel Citadel,100
Dauntless Bodyguard,43.6
Day of Judgment,57.7
Daybreak Ranger,0
Daze,34
Deathrite Shaman,35.3
Deceiver Exarch,47.5
Decimator of the Provinces,100
Declaration in Stone,29.4
Deep Analysis,25
Deep Forest Hermit,17.4
Delver of Secrets,100
Demonic Consultation,50
Demonic Tutor,8.1
Demonlord Belzenlok,85.7
Den Protector,75.9
Deranged Hermit,44.1
Desperate Ritual,76.5
Despise,100
Detention Sphere,0
Devil's Play,0
Devoted Druid,26.3
Diabolic Edict,63.2
Dig Through Time,31.6
Dimensional Infiltrator,66.7
Dimir Charm,100
Dimir Signet,0
Dire Fleet Daredevil,55.6
Diregraf Ghoul,66.7
Disallow,20
Disciple of the Vault,100
Discovery // Dispersal,100
Disdainful Stroke,33.3
Disenchant,74.4
Dismember,19.1
Dismissive Pyromancer,53.8
Dissenter's Deliverance,100
Dissolve,0
Distended Mindbender,0
Distress,0
Divest,85.7
Docent of Perfection,33.3
"Domri, Chaos Bringer",100
Doom Blade,28.6
Doom Whisperer,41.2
Doomed Traveler,0
Dovin's Veto,100
Dragon Hunter,100
Dragonlord Atarka,44
Dragonlord Dromoka,100
Dragonlord Ojutai,50
Dragonlord Silumgar,0
Dragonskull Summit,50
"Drana, Liberator of Malakir",50
Drawn from Dreams,0
Dread Presence,0
Dread Return,100
Dread Wanderer,44.8
Dreadbore,40
Dreadhorde Arcanist,55.6
Dreadhorde Butcher,0
Dreadhorde Invasion,0
"Dromoka, the Eternal",100
Drown in the Loch,100
Drowned Catacomb,50
Dryad Militant,60
Dryad of the Ilysian Grove,50
Dualcaster Mage,75
Dungeon Geists,100
Duplicant,40
Duress,29.7
Dusk // Dawn,100
Dusk Urchins,0
Duskmantle Seer,100
Duskwatch Recruiter,50
Dust Bowl,76.9
Earthquake,77.8
Earthshaker Giant,50
Earthshaker Khenra,31.8
Eat to Extinction,0
Echo of Eons,100
"Edric, Spymaster of Trest",53.1
Eerie Interlude,100
Eidolon of Blossoms,100
Eidolon of Obstruction,100
Eidolon of the Great Revel,54.1
Eladamri's Call,100
Elder Gargaroth,100
Eldrazi Displacer,100
Eldrazi Skyspawner,0
Eldritch Evolution,50
Electrodominance,66.7
Electrolyze,30
"Elesh Norn, Grand Cenobite",46.8
Eliminate,33.3
Elite Vanguard,50
Elspeth Conquers Death,33.3
"Elspeth, Knight-Errant",8.9
"Elspeth, Sun's Champion",34.6
"Elspeth, Sun's Nemesis",28.6
Elspeth's Nightmare,100
Elves of Deep Shadow,16.2
Elvish Mystic,14.3
Elvish Visionary,100
Embercleave,0
Embereth Shieldbreaker,50
Emberwilde Captain,50
Embraal Bruiser,100
Emeria Angel,68.2
Emeria's Call,33.3
Emissary of Grudges,100
Empty the Warrens,92.3
"Emrakul, the Aeons Torn",20
"Emrakul, the Promised End",25
"Emry, Lurker of the Loch",100
Enclave Cryptologist,58.8
End Hostilities,100
End-Raze Forerunners,33.3
Endless One,0
Engineered Explosives,84.6
Enlightened Tutor,58.5
Ensoul Artifact,100
Entomb,32.8
Entreat the Angels,100
"Erebos, God of the Dead",0
Essence Scatter,0
"Etali, Primal Storm",0
Eternal Dragon,61.5
Eternal of Harsh Truths,100
Eternal Taskmaster,0
Eternal Witness,18.6
Ethereal Forager,100
Etherium Sculptor,100
Ethersworn Canonist,100
Eureka,56.8
Everflowing Chalice,25
Evolving Wilds,10.3
Exalted Angel,62.5
Exclude,100
Exclusion Mage,33.3
Exhume,33.3
Expansion // Explosion,84.6
Expedition Envoy,100
Experiment One,0
Experimental Frenzy,57.1
Explore,0
Exquisite Firecraft,80
Fabled Passage,4.8
Fact or Fiction,8.8
Fae of Wishes,100
Faerie Conclave,37.5
Fairgrounds Warden,71.4
Faith's Fetters,50
Faithless Looting,33.3
Falkenrath Aristocrat,60
Falkenrath Gorger,55
Fall from Favor,100
Fallen Shinobi,33.3
Fanatic of Mogis,0
Farseek,28
Fastbond,57.9
Fatal Push,62.5
Fate Transfer,0
Fauna Shaman,22.6
"Fblthp, the Lost",0
Feldon of the Third Path,90.9
Felidar Retreat,33.3
Fellwar Stone,0
Fertile Ground,75
Fetid Pools,11.1
Field of Ruin,50
Fiend Artisan,61.5
Fiend Hunter,25
Fiery Confluence,30.8
Fiery Islet,22.2
Fiery Justice,0
Fight as One,50
Figure of Destiny,23.6
Filigree Familiar,33.3
Final Fortune,100
Finale of Devastation,43.8
Finale of Glory,50
Fire // Ice,25.9
Fire Ambush,100
Fire Covenant,50
Fire Prophecy,0
Fireball,0
Fireblast,40.8
Firebolt,32.9
Firebrand Archer,100
Firedrinker Satyr,60
Firestorm,83.3
Flame Slash,28.6
Flames of the Firebrand,55.6
Flametongue Kavu,39.1
Flashfires,100
Flayer Husk,100
Fleetwheel Cruiser,60
Flesh Carver,55.9
Fleshbag Marauder,100
Flickerwisp,51.5
Flood of Tears,100
Flood Plain,40
Flooded Grove,50
Flooded Strand,9.7
Forbid,35.3
Forbidden Alchemy,100
Force of Negation,33.3
Force of Virtue,100
Force of Will,20
Force Spike,40.9
Forest,11.1
Fork,0
Forked Bolt,42.9
Forsake the Worldly,80
Foundry Inspector,100
Foundry Street Denizen,100
Fractured Identity,10.7
Frantic Search,45.5
Frenzied Fugue,64.7
Frost Lynx,100
Frost Titan,31.6
Fume Spitter,100
Fumigate,66.7
Fyndhorn Elves,14.7
Gaddock Teeg,100
"Gadwick, the Wizened",50
Gaea's Cradle,23.5
Galepowder Mage,50
Galvanic Blast,0
Garruk Relentless,19.5
Garruk Wildspeaker,10.4
"Garruk, Apex Predator",100
"Garruk, Cursed Huntsman",85.7
"Garruk, Primal Hunter",31.8
"Garruk, Unleashed",50
Garruk's Harbinger,0
Geist of Saint Traft,56.4
Gemstone Mine,25
Genesis,0
Genesis Hydra,100
Genesis Wave,75
Gerrard's Verdict,57.1
Ghirapur Aether Grid,100
Ghitu Lavarunner,0
Ghor-Clan Rampager,50
Ghost Quarter,0
Giant Killer,0
Gideon Blackblade,29.7
Gideon Jura,38.6
Gideon of the Trials,33.3
"Gideon, Ally of Zendikar",15.4
Gifted Aetherborn,50
Gifts Ungiven,68.8
Gilded Goose,14.3
Gilded Lotus,29.4
"Gisela, the Broken Blade",60
Gitaxian Probe,32.1
Giver of Runes,36.4
Glacial Fortress,25
Glasspool Mimic,0
Glen Elendra Archmage,7.7
Glint-Sleeve Siphoner,56.2
Glorious Anthem,100
Glory-Bound Initiate,77.8
Glorybringer,27.3
Gnarled Scarhide,70
Go for the Throat,14
Goblin Banneret,100
Goblin Bombardment,80
Goblin Chainwhirler,50
Goblin Cratermaker,38.5
Goblin Dark-Dwellers,66.7
Goblin Electromancer,100
Goblin Glory Chaser,100
Goblin Guide,26.2
Goblin Piledriver,100
Goblin Rabblemaster,16.1
Goblin Sharpshooter,100
Goblin Tinkerer,100
Goblin Welder,92.9
God-Eternal Kefnet,62.5
Godless Shrine,34.1
Gods Willing,0
Golgari Signet,33.3
"Golos, Tireless Pilgrim",50
"Gonti, Lord of Luxury",42.9
Gore-House Chainwalker,0
Grafted Wargear,54.5
"Grakmaw, Skyclave Ravager",100
Grand Architect,100
Grand Coliseum,14.3
Grateful Apparition,100
Grave Titan,17.6
Gravebreaker Lamia,100
Gravecrawler,65.5
Gravedigger,100
Gray Merchant of Asphodel,0
Great Oak Guardian,0
Greater Gargadon,79.2
Green Sun's Zenith,16.3
Greenwarden of Murasa,100
Grim Affliction,0
Grim Haruspex,100
Grim Lavamancer,55.6
Grim Monolith,10.2
Grim Tutor,66.7
Grind // Dust,0
Griselbrand,24.5
Grisly Salvage,100
Grove of the Burnwillows,66.7
Gruul Signet,20
Gruul Spellbreaker,0
Guardian Idol,44.4
Gush,62.5
Gutterbones,47.1
Guttersnipe,0
Guul Draz Assassin,100
Gyre Sage,100
Hadana's Climb,100
Hagra Mauling,20
Hallowed Fountain,16.7
Hallowed Spiritkeeper,52.2
"Halvar, God of Battle",0
Hammer of Purphoros,100
Hangarback Walker,46.7
Hanged Executioner,37.5
Hanweir Battlements,33.3
Hanweir Garrison,21.2
Hanweir Militia Captain,100
Hardened Scales,66.7
Harmonize,33.3
Harsh Mentor,66.7
Hazoret the Fervent,47.7
Heartbeat of Spring,81.8
Heartfire Immolator,33.3
Heartless Act,17.6
Hedron Archive,36.4
Heir of Falkenrath,56.5
Heirloom Blade,100
Hellrider,31.3
Hellspark Elemental,88.9
Herald of Secret Streams,100
Hero of Bladehold,52.4
Hero of Oxid Ridge,0
Hero's Downfall,36.7
Heroic Reinforcements,100
Hexdrinker,12.9
Hidden Dragonslayer,0
Hidden Stockpile,100
Hieroglyphic Illumination,25
High Sentinels of Arashin,0
High Tide,78.6
Hinterland Harbor,50
Hissing Quagmire,40
History of Benalia,43.8
Honor of the Pure,65.6
Honored Crop-Captain,100
Honored Hydra,0
Hooting Mandrills,0
Hordeling Outburst,100
Horizon Canopy,15.6
Hornet Queen,31.4
Hostage Taker,23.3
Huntmaster of the Fells,60.7
Hydroid Krasis,28.1
Hymn to Tourach,27.4
Hypnotic Specter,57.1
Hypnotic Sprite,0
Icefall Regent,100
Idol of Oblivion,100
"Ilharg, the Raze-Boar",33.3
Ill-Gotten Gains,0
Immolating Glare,0
Imperial Recruiter,55.6
Imperial Seal,30
Imposing Sovereign,51.7
Imprisoned in the Moon,0
Impulse,26.1
Incendiary Flow,50
Incinerate,20.9
Incubation Druid,0
Indatha Triome,0
Infernal Contract,0
Inferno Titan,26.7
"Ink-Eyes, Servant of Oni",100
Inkwell Leviathan,53.7
Inquisition of Kozilek,25.5
Inspiring Vantage,53.3
Insult // Injury,100
Intangible Virtue,100
Into the Roil,37.5
"Iona, Shield of Emeria",50
Ionize,100
Iron Myr,0
Irrigated Farmland,28.6
"Isamaru, Hound of Konda",30.4
Isareth the Awakener,0
"Ishkanah, Grafwidow",100
Island,10.2
Isochron Scepter,100
Isolated Chapel,50
Izzet Charm,23.7
Izzet Signet,5.7
Jace Beleren,33.3
"Jace, Architect of Thought",36.4
"Jace, Mirror Mage",50
"Jace, the Mind Sculptor",11.3
"Jace, Vryn's Prodigy",14.5
Jackal Pup,58.5
Jadelight Ranger,50
Jaya's Greeting,0
Jeweled Amulet,30
"Jhoira, Weatherlight Captain",100
"Jin-Gitaxias, Core Augur",100
Joraga Treespeaker,16.9
Journey to Nowhere,32.6
Judge's Familiar,100
"Judith, the Scourge Diva",60
"Kalitas, Traitor of Ghet",47.8
Kalonian Hydra,100
"Kambal, Consul of Allocation",100
Karakas,16.7
Kargan Intimidator,0
"Kari Zev, Skyship Raider",25
Karn Liberated,12.5
"Karn, Scion of Urza",22.2
Karn's Bastion,100
Karplusan Forest,45.8
"Kasmina, Enigmatic Mentor",0
"Kaya, Ghost Assassin",100
"Kaya, Orzhov Usurper",72.7
Keldon Marauders,53.8
Kessig Prowler,100
Ketria Triome,40
"Kiki-Jiki, Mirror Breaker",31
Kiln Fiend,50
Kinjalli's Sunwing,50
"Kinnan, Bonder Prodigy",0
"Kiora, the Crashing Wave",50
"Kira, Great Glass-Spinner",100
Kitchen Finks,46.6
Kitesail Freebooter,32.5
Kjeldoran Outpost,100
"Klothys, God of Destiny",44.4
Knight of Autumn,50
Knight of the Ebon Legion,25
Knight of the Holy Nimbus,0
Knight of the Reliquary,72.2
Knight of the White Orchid,50
Kodama's Reach,32.3
Kolaghan's Command,29.2
Kor Haven,85.7
Koth of the Hammer,42.6
"Kozilek, Butcher of Truth",38.2
"Kozilek, the Great Distortion",100
"Krenko, Tin Street Kingpin",21.4
"Kroxa, Titan of Death's Hunger",28.6
Kuldotha Forgemaster,66.7
"Kytheon, Hero of Akros",45.8
Laboratory Maniac,100
Land Tax,50
Languish,81.5
Lava Coil,0
Lavaclaw Reaches,34.7
Lazotep Reaver,0
Legion Loyalist,100
Legion Warboss,21.7
Legion's Landing,48.3
Leonin Relic-Warder,65
Leonin Warleader,60
"Leovold, Emissary of Trest",16.7
Ley Weaver,100
Leyline of Sanctity,80
Library of Alexandria,0
Life // Death,59.1
Life from the Loam,73.3
Light Up the Stage,45.8
Lightning Bolt,9.6
Lightning Greaves,47.1
Lightning Helix,62.2
Lightning Mauler,0
Lightning Strike,22.4
Liliana of the Veil,13.4
Liliana Vess,0
"Liliana, Death's Majesty",44.4
"Liliana, Dreadhorde General",50
"Liliana, Heretical Healer",25
"Liliana, the Last Hope",30.3
Liliana's Mastery,0
Liliana's Reaver,33.3
Liliana's Triumph,50
Lingering Souls,19.1
"Linvala, Keeper of Silence",77.8
"Linvala, the Preserver",0
Lion's Eye Diamond,71.4
Living Death,74.3
Living Twister,100
Llanowar Elves,12.7
Llanowar Visionary,33.3
Llanowar Wastes,38.5
Lodestone Golem,52.6
Logic Knot,100
Lone Missionary,100
Lonely Sandbar,100
Looter il-Kor,45.5
Lord of Shatterskull Pass,100
Lord Windgrace,100
Lotus Bloom,42.9
Lotus Cobra,10.3
Lotus Field,100
Lotus Petal,22.2
Lovestruck Beast,40
Loxodon Smiter,100
Loxodon Warhammer,100
Lumbering Falls,38.6
Luminarch Aspirant,0
Luminous Broodmoth,57.1
Lurrus of the Dream-Den,57.1
"Lutri, the Spellchaser",100
Lyra Dawnbringer,36.4
Maelstrom Pulse,33.3
Magma Jet,20.8
Magus of the Moon,73.9
Magus of the Order,66.7
Makeshift Mannequin,42.9
Malicious Affliction,100
Man-o'-War,44.4
Mana Confluence,6.3
Mana Crypt,0
Mana Drain,18.8
Mana Flare,75
Mana Leak,15
Mana Tithe,38.7
Mana Vault,0
Managorger Hydra,0
Manamorphose,23.1
Manglehorn,48.6
Manic Vandal,76.2
Mardu Strike Leader,66.7
Mardu Woe-Reaper,66.7
Marsh Flats,7.5
Martyr for the Cause,100
Massacre Girl,50
Massacre Wurm,57.6
Master Biomancer,100
Master of the Wild Hunt,44
Master of Waves,100
Mastermind's Acquisition,83.3
Maul of the Skyclaves,50
Mayor of Avabruck,100
Maze of Ith,55.8
Mazemind Tome,60
Medomai's Prophecy,100
Meloku the Clouded Mirror,44.4
Memory Jar,46.7
Memory Lapse,40.9
Mental Note,50
Meren of Clan Nel Toth,33.3
Merfolk Branchwalker,50
Mesmeric Fiend,45.7
Metallic Mimic,100
Metalworker,62.5
Metamorphic Alteration,100
Midnight Reaper,33.3
"Mikaeus, the Lunarch",0
Mimic Vat,80
Mind Control,0
Mind Stone,13.2
Mind Twist,4.2
Mind's Desire,80
Mindslaver,68.4
Ministrant of Obligation,100
Mirari's Wake,63.2
Mirran Crusader,70
"Mirri, Weatherlight Duelist",75
Mirri's Guile,0
Mirror Entity,50
Miscalculation,20.9
Mishra's Factory,37.1
Mishra's Workshop,57.1
Mission Briefing,0
Mist-Syndicate Naga,0
Misty Rainforest,14.1
Mizzium Mortars,46.4
Mizzium Tank,33.3
Mnemonic Wall,0
Moat,63.3
Mogg War Marshal,50
Monastery Mentor,29.3
Monastery Swiftspear,33.3
Mother of Runes,34.8
Mountain,10.1
Mox Diamond,1.3
Mox Emerald,0
Mox Jet,0
Mox Pearl,0
Mox Ruby,0
Mox Sapphire,0
"Mu Yanling, Sky Dancer",20
Mulldrifter,13.8
Murder of Crows,100
Murderous Cut,80
Murderous Redcap,33.3
Murderous Rider,14.3
Murmuring Mystic,0
Mutavault,37.5
Myr Battlesphere,14.3
Mystic Confluence,6.6
Mystic Gate,100
Mystic Snake,76.2
Mystical Tutor,18.8
Mythos of Brokkos,100
Mythos of Illuna,100
Nadir Kraken,42.1
"Nahiri, the Harbinger",60
"Najeela, the Blade-Blossom",50
"Narset, Parter of Veils",18.8
Natural Order,31.9
Nature's Chant,86.7
Nature's Claim,66.7
Nature's Lore,0
Necromancy,37.1
Necropotence,100
Needle Spires,51.1
Needleverge Pathway,0
Negate,25
"Neheb, the Eternal",100
Nekrataal,73.2
Nether Traitor,100
Nether Void,60
Neutralize,0
Never // Return,50
Nevinyrral's Disk,75
New Horizons,100
Nexus of Fate,16.7
Nezumi Graverobber,100
Nezumi Shortfang,100
"Nicol Bolas, Dragon-God",70
"Nicol Bolas, God-Pharaoh",60
"Nicol Bolas, Planeswalker",50
"Nicol Bolas, the Ravager",50
Night Incarnate,66.7
Night's Whisper,38.5
Nighthawk Scavenger,60
Nightmare Shepherd,100
Nightpack Ambusher,46.7
Nightveil Sprite,0
Nimble Obstructionist,50
Ninja of the Deep Hours,0
"Nissa, Steward of Elements",81.8
"Nissa, Vastwood Seer",29.6
"Nissa, Voice of Zendikar",18.4
"Nissa, Who Shakes the World",14.6
"Nissa, Worldwaker",53.6
Niv-Mizzet Reborn,100
"Niv-Mizzet, Parun",50
Noble Hierarch,5.6
Noose Constrictor,90
Noxious Gearhulk,36.4
Nullpriest of Oblivion,100
Nurturing Peatland,25
"Nykthos, Shrine to Nyx",42.1
Oath of Druids,63.8
Oath of Nissa,42.1
Ob Nixilis Reignited,0
Ob Nixilis's Cruelty,0
Oblivion Ring,30
Oblivion Stone,72.7
Obstinate Baloth,85.7
"Obzedat, Ghost Council",66.7
"Odric, Master Tactician",0
Ogre Battledriver,100
Ohran Frostfang,0
"Oko, Thief of Crowns",17.4
Olivia Voldaren,66.7
Olivia's Dragoon,100
Omen of the Sea,0
Omenspeaker,0
"Omnath, Locus of Creation",0
Once Upon a Time,42.9
Oona's Prowler,45.8
Ophiomancer,30.9
Opposition,41.7
Opposition Agent,0
Opt,10
Oracle of Mul Daya,11.8
Oran-Rief Ooze,100
"Oran-Rief, the Vastwood",100
Orcish Lumberjack,100
Order of Midnight,45.5
Orzhov Signet,0
Oust,0
Outpost Siege,50
Overgrown Tomb,35.5
Pack Rat,28.6
Pact of Negation,100
Painful Truths,100
Palace Jailer,17.5
Palinchron,100
Panharmonicon,0
Paradigm Shift,100
Paradise Druid,20
Parallax Wave,41.3
Parting Thoughts,0
Past in Flames,50
Path to Exile,7.8
Pelt Collector,0
Pentad Prism,25
Pernicious Deed,87.5
Pestermite,37.8
Pestilence,0
Phantasmal Image,40.4
Phoenix of Ash,18.8
Phyrexian Arena,50
Phyrexian Metamorph,19.3
Phyrexian Obliterator,0
Phyrexian Rager,0
Phyrexian Revoker,25
Phyrexian Tower,100
Pia and Kiran Nalaar,52.8
Pia Nalaar,62.5
Pilgrim's Eye,0
Pillar of Flame,100
Pithing Needle,70.8
Plague Engineer,33.3
Plaguecrafter,75
Plains,12
Planar Cleansing,100
Planar Outburst,0
Plateau,34.6
Plated Geopede,100
Plow Under,45.9
Pollenbright Druid,100
Polluted Delta,4.1
"Polukranos, World Eater",62.5
Ponder,10.4
Porcelain Legionnaire,31.9
Powder Keg,85.7
Power Sink,0
Precinct Captain,0
Preordain,10.2
Priest of Forgotten Gods,66.7
Priest of Titania,0
Primal Command,57.9
Prime Speaker Vannifar,100
Primeval Titan,12.2
Prismatic Lens,28.6
Prismatic Vista,0
Profane Command,0
Progenitus,59.1
Prophet of Kruphix,100
Prophetic Prism,0
Psionic Blast,0
Psychatog,62.5
Pteramander,81.2
Pulse of Murasa,100
Puppeteer Clique,100
"Purphoros, God of the Forge",33.3
Purphoros's Intervention,57.1
Putrid Goblin,0
Putrid Imp,50
Pyretic Ritual,66.7
Pyroclasm,87
Qasali Pridemage,76.9
Quench,50
Questing Beast,17.2
Quicksilver Amulet,33.3
Quicksmith Rebel,100
"Radha, Heart of Keld",100
Radical Idea,0
Raging Ravine,40.4
Rain of Filth,0
Raise the Alarm,0
Rakdos Cackler,25.9
Rakdos Signet,18.2
Rakdos's Return,69.2
Ral Zarek,40
Rampaging Baloths,50
Rampaging Ferocidon,0
Rampant Growth,13.3
Ramunap Excavator,44.4
Rancor,100
Ranger of Eos,0
Ranger-Captain of Eos,66.7
"Rankle, Master of Pranks",15.8
Ransack the Lab,100
Ratchet Bomb,100
Raugrin Triome,0
Ravages of War,36.5
Ravenous Chupacabra,25
Razorverge Thicket,50
Read the Bones,0
Reality Smasher,50
Realm-Cloaked Giant,100
Reanimate,17.3
Reap the Past,100
Reckless Bushwhacker,50
Reclamation Sage,25.9
Recruiter of the Guard,43.9
Recurring Nightmare,37.9
Reflecting Pool,0
Reflector Mage,60
Regal Behemoth,33.3
Regisaur Alpha,100
Regrowth,55.3
Rekindling Phoenix,46.2
Relentless Dead,50
Relic of Progenitus,100
Relic Runner,100
Remand,9.7
Remorseful Cleric,58.8
Renegade Freighter,100
Repeal,12.5
Resplendent Angel,60
Restoration Angel,35.7
Retrofitter Foundry,34.9
Return to Dust,100
Return to Nature,100
Reveillark,47.5
Rhys the Redeemed,0
Riddlesmith,100
Rift Bolt,42.9
