deckID,colors,baseColors,splashes,sphere,archetype,deckName,date,cubeType
34,green black white,green white,black,midrange,stoneforge  survival,Abzan (BGW) Stoneforge Survival Midrange.txt,2019-09-03,Vintage Unpowered
35,green black white,green black white,-,midrange,survival,Abzan (BGW) The Rock Survival Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
36,green black white,green white,black,midrange,tokens,Abzan (BGW) Tokens Midrange 10.28.18.txt,2018-10-28,Vintage Unpowered
37,green black white,green white,black,midrange,tokens,Abzan (BGW) Tokens Midrange.txt,2020-09-12,Vintage Unpowered
38,green black white,green black white,-,midrange,superfriends  tokens,Abzan (BGW) Tokens Superfriends Midrange.txt,2019-08-18,Vintage Unpowered
39,green black white,green black,white,midrange,skullclamp,Abzan (BGW) Vraska Loam Skullclamp Midrange 10.14.18.txt,2018-10-14,Vintage Unpowered
40,green black white,black white,green,midrange,skullclamp  tokens,Abzan (BGW) Yawgmoth Skullclamp Tokens Midrange.txt,2020-01-12,Vintage Unpowered
41,blue white,white,blue,aggro,-,Azorius (UW) Aggro [WOTC Vintage].txt,2019-08-18,WOTC Vintage
42,blue white,blue,white,ramp,artifacts  upheaval,Azorius (UW) Artifacts Matters Upheaval Ramp [WOTC Vintage],2021-01-31,WOTC Vintage
43,blue white,blue white,-,control,balance,Azorius (UW) Balance Control [WOTC Vintage],2021-01-31,WOTC Vintage
44,blue white,blue white,-,control,balance,Azorius (UW) Balance Control.txt,2019-10-12,Vintage Unpowered
45,blue white,blue white,-,control,balance  moat,Azorius (UW) Balance Moat Control 8.26.18.txt,2018-08-26,Vintage Unpowered
46,blue white,blue white,-,control,balance  moat,Azorius (UW) Balance Moat Control [WOTC Vintage].txt,2020-09-12,WOTC Vintage
47,blue white,blue white,-,ramp,artifacts  balance,Azorius (UW) Balance Tinker Ramp [WOTC Vintage],2021-01-31,WOTC Vintage
48,blue white,blue white,-,control,spellsmatter  balance  upheaval,Azorius (UW) Balance Upheaval Spells Matters Control [WOTC Vintage].txt,2018-12-09,WOTC Vintage
49,blue white,blue white,-,control,-,Azorius (UW) Control,2021-01-31,Vintage Unpowered
50,blue white,blue,white,control,-,Azorius (UW) Control .txt,2018-12-16,Vintage Unpowered
51,blue white,blue white,-,control,-,Azorius (UW) Control 5.1.18.txt,2018-05-01,Vintage Unpowered
52,blue white,blue white,-,control,-,Azorius (UW) Control 5.19.18 [WOTC Vintage].txt,2018-05-19,WOTC Vintage
53,blue white,blue white,-,control,-,Azorius (UW) Control [WOTC Vintage].txt,2020-09-12,WOTC Vintage
54,blue white,blue,white,control,-,Azorius (UW) Control copy,2021-01-31,Vintage Unpowered
55,blue white,blue white,-,control,-,Azorius (UW) Control.txt,2019-09-15,Vintage Unpowered
56,blue white,blue white,-,control,moat,Azorius (UW) Lutri Moat Control,2021-01-31,Vintage Unpowered
57,blue white,blue white,-,aggro control,-,Azorius (UW) Lutri Tempo.txt,2020-09-12,Vintage Unpowered
58,blue white,blue white,-,control,-,Azorius (UW) Mana Drain Control.txt,2020-04-25,Vintage Unpowered
59,blue white,blue white,-,midrange,-,Azorius (UW) Midrange [WOTC Vintage].txt,2019-08-18,WOTC Vintage
60,blue white,blue white,-,control,moat,Azorius (UW) Moat Control 10.1.18.txt,2018-10-01,Vintage Unpowered
61,blue white,blue white,-,control,moat,Azorius (UW) Moat Control 9.2.18.txt,2018-09-02,Vintage Unpowered
62,blue white,blue white,-,control,moat,Azorius (UW) Moat Control [WOTC Vintage].txt,2019-10-12,WOTC Vintage
63,blue white,blue white,-,control,moat,Azorius (UW) Moat Control.txt,2019-04-28,Vintage Unpowered
64,blue white,blue white,-,control,opposition,Azorius (UW) Opposition Control.txt,2019-09-15,Vintage Unpowered
65,blue white,blue white,-,midrange,opposition  moat,Azorius (UW) Opposition Moat Midrange [WOTC Vintage].txt,2020-01-12,WOTC Vintage
66,blue white,blue white,-,aggro control,opposition,Azorius (UW) Opposition Tempo [Vintage].txt,2020-07-03,Vintage Powered
67,blue white,blue white,-,control,reveillark  balance,Azorius (UW) Reveillark Balance Control 4.7.18.txt,2018-04-07,Vintage Unpowered
68,blue white,blue white,-,midrange,reveillark  blink,Azorius (UW) Reveillark Blink Midrange,2021-01-31,Vintage Unpowered
69,blue white,white,blue,midrange,opposition  reveillark  tokens,Azorius (UW) Reveillark Opposition Tokens Midrange.txt,2018-12-07,Vintage Unpowered
70,blue white,blue white,-,midrange,skullclamp  balance,Azorius (UW) Skullclamp Balance Midrange [WOTC Vintage].txt,2018-12-25,WOTC Vintage
71,blue white,blue,white,control,spellsmatter,Azorius (UW) Spells Matters Control 12.26.17.txt,2018-12-26,Vintage Unpowered
72,blue white,blue white,-,midrange,stoneforge,Azorius (UW) Stoneforge Midrange 10.29.18 [WOTC Vintage].txt,2018-10-29,WOTC Vintage
73,blue white,blue white,-,midrange,stoneforge,Azorius (UW) Stoneforge Midrange [WOTC Vintage].txt,2019-08-18,WOTC Vintage
74,blue white,white,blue,midrange,opposition  stoneforge,Azorius (UW) Stoneforge Opposition Midrange [WOTC Vintage].txt,2020-03-20,WOTC Vintage
75,blue black white,blue white,black,midrange,opposition  stoneforge  moat,Azorius (UW) Stoneforge Opposition Moat Flyers Midrange [WOTC Vintage].txt,2020-03-20,WOTC Vintage
76,blue white,blue white,-,midrange,opposition  stax  stoneforge,Azorius (UW) Stoneforge Stax Opposition Midrange,2021-01-31,Vintage Unpowered
77,blue white,blue white,-,aggro control,-,Azorius (UW) Tempo 10.19.18 [WOTC Vintage].txt,2018-10-19,WOTC Vintage
78,blue white,blue white,-,aggro control,-,Azorius (UW) Tempo 3.24.18 [WOTC Vintage].txt,2018-03-24,WOTC Vintage
79,blue white,blue white,-,aggro control,-,Azorius (UW) Tempo 3.4.18.txt,2018-03-04,Vintage Unpowered
80,blue white,blue white,-,aggro control,-,Azorius (UW) Tempo 4.16.18 [WOTC Vintage].txt,2018-04-16,WOTC Vintage
81,blue white,blue white,-,aggro control,-,Azorius (UW) Tempo [WOTC Vintage].txt,2020-09-12,WOTC Vintage
82,blue white,blue white,-,control,-,Azorius (UW) Tezzret Control [WOTC Vintage].txt,2019-08-18,WOTC Vintage
83,blue white,blue white,-,control,artifacts,Azorius (UW) Tinker Control [WOTC Vintage].txt,2020-03-20,WOTC Vintage
84,blue white,blue,white,control  ramp,artifacts  upheaval,Azorius (UW) Upheaval Artifacts Matters Ramp Control [WOTC Vintage].txt,2020-07-03,WOTC Vintage
85,blue white,blue white,-,control,balance  moat  upheaval,Azorius (UW) Upheaval Balance Moat Control 8.4.18.txt,2018-08-04,Vintage Unpowered
86,blue white,blue white,-,control,upheaval,Azorius (UW) Upheaval Control,2021-01-31,Vintage Unpowered
87,blue white,blue white,-,midrange,reveillark  blink,Azorius(UW) Reveillark Blink Midrange.txt,2019-10-12,Vintage Unpowered
88,green blue white,green blue,white,midrange,reveillark  pod,Bant (UGW)  Birthing Pod Reveillark Midrange 7.8.18.txt,2018-07-08,Vintage Unpowered
89,green blue white,white,green blue,midrange,armageddon,Bant (UGW) Armageddon Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
90,green blue white,green white,blue,midrange,armageddon,Bant (UGW) Armageddon Midrange.txt,2019-06-16,Vintage Unpowered
91,green blue white,green blue white,-,midrange,reveillark  pod,Bant (UGW) Birthing Pod Reveillark Midrange 7.12.18.txt,2018-07-12,Vintage Unpowered
92,green blue white,blue white,green,control,-,Bant (UGW) Control.txt,2020-07-03,Vintage Unpowered
93,green blue white,green white,blue,midrange,edric  reveillark,Bant (UGW) Edric Reveillark Midrange 1.27.18.txt,2018-01-27,Vintage Unpowered
94,green blue white,green white,blue,midrange,edric  reveillark,Bant (UGW) Edric Reveillark Midrange Shenanigans 1.1.18.txt,2018-01-01,Vintage Unpowered
95,green blue white,green blue white,-,midrange,edric  superfriends  tokens,Bant (UGW) Edric Superfriends Tokens Midrange.txt,2020-07-03,Vintage Unpowered
96,green blue white,green blue white,-,midrange,opposition  crucible,Bant (UGW) Excavator Opposition Midrange Shenanigans 3.11.18.txt,2018-03-11,Vintage Unpowered
97,green blue white,green white,blue,midrange,superfriends,Bant (UGW) Gideon Tribal Superfriends Midrange 9.29.18.txt,2018-09-29,Vintage Unpowered
98,green blue white,green blue white,-,midrange,-,Bant (UGW) Goodstuff Midrange 2.25.18.txt,2018-02-25,Vintage Unpowered
99,green blue white,green,blue white,midrange,-,Bant (UGW) Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
100,green blue white,green blue,white,midrange,-,Bant (UGW) Goodstuff Midrange.txt,2020-07-03,Vintage Unpowered
101,green blue black white,green blue,black white,midrange,-,Bant (UGW) Lands Matters Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
102,green blue white,green white,blue,midrange,-,Bant (UGW) Midrange 9.12.18 [WOTC Vintage].txt,2018-09-12,WOTC Vintage
103,green blue white,green blue white,-,midrange,-,Bant (UGW) Midrange.txt,2019-06-16,Vintage Unpowered
104,green blue white,green blue,white,ramp,naturalorder  channel,Bant (UGW) Natural Order Channel Ramp 7.29.18.txt,2018-07-29,Vintage Unpowered
105,green blue white,green,blue white,ramp,naturalorder,Bant (UGW) Natural Order Ramp.txt,2020-01-12,Vintage Unpowered
106,green blue white,green,blue white,midrange,naturalorder  reveillark  survival,Bant (UGW) Natural Order Reveillark Survival Midrange [WOTC Vintage].txt,2017-12-03,WOTC Vintage
107,green blue white,green,blue white,ramp,naturalorder  upheaval,Bant (UGW) Natural Order Upheaval Ramp,2021-01-31,Vintage Unpowered
108,green blue white,blue white,green,combo,oath,Bant (UGW) Oath Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
109,green blue white,green white,blue,midrange,opposition  armageddon,Bant (UGW) Opposition Armageddon Midrange 11.18.18.txt,2018-11-18,Vintage Unpowered
110,green blue white,green blue,white,midrange,opposition,Bant (UGW) Opposition Midrange 1.15.18.txt,2018-01-15,Vintage Unpowered
111,green blue white,green blue white,-,midrange,opposition,Bant (UGW) Opposition Midrange [WOTC Vintage].txt,2019-07-02,WOTC Vintage
112,green blue white,green white,blue,midrange,opposition,Bant (UGW) Opposition Midrange.txt,2019-07-07,Vintage Unpowered
113,green blue white,green,blue white,ramp,opposition  naturalorder  upheaval,Bant (UGW) Opposition Natural Order Upheaval Ramp [WOTC Vintage].txt,2020-07-03,WOTC Vintage
114,green blue white,blue white,green,aggro control,opposition,Bant (UGW) Opposition Tempo 1.21.18.txt,2018-01-21,Vintage Unpowered
115,green blue white,green,blue white,midrange,opposition  upheaval,Bant (UGW) Opposition Upheaval Midrange [WOTC Vintage].txt,2019-09-03,WOTC Vintage
116,green blue white,green blue,white,ramp,-,Bant (UGW) Ramp [WOTC Vintage].txt,2019-09-15,WOTC Vintage
117,green blue white,green,blue white,ramp,-,Bant (UGW) Ramp.txt,2020-07-03,Vintage Unpowered
118,green blue white,blue white,green,midrange,reveillark  blink,Bant (UGW) Reveillark Blink Midrange.txt,2020-07-03,Vintage Unpowered
119,green blue white,green white,blue,midrange,reveillark  tokens,Bant (UGW) Reveillark Tokens Midrange.txt,2019-07-28,Vintage Unpowered
120,green blue white,green blue white,-,midrange,armageddon  skullclamp,Bant (UGW) Skullclamp Armageddon Midrange 9.27.18 [WOTC Vintage].txt,2018-09-27,WOTC Vintage
121,green blue white,blue white,green,midrange,opposition  skullclamp  reveillark  pod,Bant (UGW) Skullclamp Birthing Pod Reveillark Opposition Midrange 6.13.18.txt,2018-06-13,Vintage Unpowered
122,green blue white,blue white,green,midrange,opposition  skullclamp,Bant (UGW) Skullclamp Opposition Midrange 11.12.18.txt,2018-11-12,Vintage Unpowered
123,green blue white,green blue,white,midrange,skullclamp  survival,Bant (UGW) Skullclamp Survival Midrange 7.26.18.txt,2018-07-26,Vintage Unpowered
124,green blue white,green white,blue,midrange,stoneforge  naturalorder  survival,Bant (UGW) Stoneforge Natural Order Survival Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
125,green blue white,white,green blue,midrange,stoneforge  tokens,Bant (UGW) Stoneforge Tokens Midrange [WOTC Vintage].txt,2020-01-12,WOTC Vintage
126,green blue white,green blue white,-,midrange,superfriends,Bant (UGW) Superfriends Midrange 7.16.18.txt,2018-07-16,Vintage Unpowered
127,green blue white,green white,blue,midrange,-,Bant (UGW) Time Walk Midrange Shenanigans 2.3.18 [WOTC Vintage].txt,2018-02-03,WOTC Vintage
128,green blue white,green blue,white,ramp,armageddon  upheaval  survival,Bant (UGW) Upheaval Armageddon Survival Ramp,2021-01-31,Vintage Unpowered
129,green blue white,green,blue white,ramp,-,Bant (UGW) Wake Ramp.txt,2019-01-02,Vintage Unpowered
130,red white,red white,-,midrange,-,Boros (RW) Aggressive Midrange 9.10.18 [WOTC Vintage].txt,2018-09-10,WOTC Vintage
131,red white,red white,-,aggro,-,Boros (RW) Aggro,2021-01-31,Vintage Unpowered
132,red white,red white,-,aggro,-,Boros (RW) Aggro (1).txt,2019-06-08,Vintage Unpowered
133,red white,red white,-,aggro,-,Boros (RW) Aggro 3.3.18.txt,2018-03-31,Vintage Unpowered
134,red white,red,white,aggro,-,Boros (RW) Aggro 6.10.18.txt,2018-06-10,Vintage Unpowered
135,red white,red white,-,aggro,-,Boros (RW) Aggro 6.22.18.txt,2018-06-22,Vintage Unpowered
136,red white,red,white,aggro,-,Boros (RW) Aggro 6.30.18.txt,2018-06-30,Vintage Unpowered
137,red white,red,white,aggro,-,Boros (RW) Aggro 6.9.18 [WOTC Vintage].txt,2018-06-09,WOTC Vintage
138,red white,red white,-,aggro,burn,Boros (RW) Aggro Burn 12.23.17.txt,2017-12-23,Vintage Unpowered
139,red white,red white,-,aggro,burn,Boros (RW) Aggro Burn 12.2517.txt,2017-12-25,Vintage Unpowered
140,red white,red white,-,aggro,-,Boros (RW) Aggro [Vintage].txt,2020-09-12,Vintage Powered
141,red white,white,red,aggro,-,Boros (RW) Aggro [WOTC VIntage],2021-01-31,NA
142,red white,red white,-,aggro,-,Boros (RW) Aggro [WOTC Vintage].txt,2020-04-25,WOTC Vintage
143,red white,red,white,aggro,-,Boros (RW) Aggro copy,2021-01-31,Vintage Unpowered
144,red white,red white,-,aggro,-,Boros (RW) Aggro copy 2,2021-01-31,Vintage Unpowered
145,red white,red white,-,aggro,-,Boros (RW) Aggro copy 2.txt,2020-04-25,Vintage Unpowered
146,red white,red,white,aggro,-,Boros (RW) Aggro copy 3,2021-01-31,Vintage Unpowered
147,red white,red white,-,aggro,-,Boros (RW) Aggro copy 3 [WOTC Vintage].txt,2020-03-20,WOTC Vintage
148,red white,red white,-,aggro,-,Boros (RW) Aggro copy 3.txt,2020-04-25,Vintage Unpowered
149,red white,red white,-,aggro,-,Boros (RW) Aggro copy 4,2021-01-31,Vintage Unpowered
150,red white,red white,-,aggro,-,Boros (RW) Aggro copy 4.txt,2020-03-20,Vintage Unpowered
151,red white,red,white,aggro,-,Boros (RW) Aggro copy [WOTC Vintage].txt,2020-01-12,WOTC Vintage
152,red white,red white,-,aggro,-,Boros (RW) Aggro copy.txt,2020-09-12,Vintage Unpowered
153,red white,red white,-,aggro,-,Boros (RW) Aggro(1) [WOTC Vintage].txt,2020-03-20,WOTC Vintage
154,red white,red white,-,aggro,-,Boros (RW) Aggro.txt,2020-09-12,Vintage Unpowered
155,red white,white,red,aggro,armageddon,Boros (RW) Armageddon Aggro 10.21.18.txt,2018-10-21,Vintage Unpowered
156,red green black,black,red green,aggro,armageddon,Boros (RW) Armageddon Aggro 12.16.17.txt,2017-12-16,Vintage Unpowered
157,red white,red white,-,aggro,armageddon,Boros (RW) Armageddon Aggro 12.29.17.txt,2017-12-29,Vintage Unpowered
158,red white,red white,-,aggro,armageddon,Boros (RW) Armageddon Aggro 5.12.18.txt,2018-05-12,Vintage Unpowered
159,red white,red white,-,aggro,armageddon,Boros (RW) Armageddon Aggro 6.8.18.txt,2018-06-08,Vintage Unpowered
160,red white,red,white,aggro,armageddon,Boros (RW) Armageddon Aggro 7.19.18 [WOTC Vintage].txt,2018-07-19,WOTC Vintage
161,red white,red,white,aggro,armageddon,Boros (RW) Armageddon Aggro [WOTC Vintage].txt,2020-01-12,WOTC Vintage
162,red white,red white,-,aggro,armageddon,Boros (RW) Armageddon Aggro copy 2 [WOTC Vintage].txt,2020-01-12,WOTC Vintage
163,red white,red,white,aggro,armageddon,Boros (RW) Armageddon Aggro copy.txt,2020-01-12,Vintage Unpowered
164,red white,red white,-,aggro,armageddon,Boros (RW) Armageddon Aggro.txt,2020-03-20,Vintage Unpowered
165,red white,red white,-,midrange,armageddon  crucible,Boros (RW) Armageddon Crucible Midrange.txt,2019-06-08,Vintage Unpowered
166,red white,red white,-,midrange,twin,Boros (RW) Kiki-Jiki Midrange 1.5.18 [WOTC Vintage].txt,2018-01-05,WOTC Vintage
167,red white,red white,-,aggro,-,Boros (RW) Lurrus Aggro,2021-01-31,Vintage Unpowered
168,red white,red white,-,midrange,tokens,Boros (RW) Purphoros Sneak Attack Tokens Midrange Shenanigans 3.23.18.txt,2018-03-23,Vintage Unpowered
169,red white,red white,-,midrange,tokens,Boros (RW) Purphoros Tokens Aggressive Midrange 4.14.18.txt,2018-04-14,Vintage Unpowered
170,red white,white,red,midrange,tokens,Boros (RW) Purphoros Tokens Midrange.txt,2017-12-03,Vintage Unpowered
171,red white,red white,-,aggro,stoneforge,Boros (RW) Stoneforge Aggro.txt,2020-09-12,Vintage Unpowered
172,red blue white,red white,blue,aggro,burn  stoneforge  armageddon,Boros (RW) Stoneforge Armageddon Aggro Burn 1.4.18.txt,2018-01-04,Vintage Unpowered
173,red white,red white,-,aggro,twin,Boros (RW) Twin Aggro [WOTC Vintage].txt,2020-09-12,WOTC Vintage
174,red white,red,white,midrange,wildfire,Boros (RW) Wildfire Midrange,2021-01-31,Vintage Unpowered
175,red white,red white,-,aggro,-,Boros Aggro.txt,2019-09-15,Vintage Unpowered
176,blue black,black,blue,aggro,stax,Dimir (UB) Ancestral Stax Aggro 3.17.18 [WOTC Vintage].txt,2018-03-17,WOTC Vintage
177,blue black,blue,black,control,-,Dimir (UB) As Foretold Control.txt,2017-12-03,Vintage Unpowered
178,blue black,blue black,-,control,-,Dimir (UB) Control [Vintage].dck.txt,2020-09-12,Vintage Powered
179,blue black,blue black,-,control,-,Dimir (UB) Control [Vintage].txt,2020-09-12,Vintage Powered
180,blue black,blue black,-,control,-,Dimir (UB) Control.txt,2020-03-20,Vintage Unpowered
181,blue black,blue black,-,midrange,-,Dimir (UB) Goodstuff Midrange [WOTC Vintage].txt,2020-07-03,WOTC Vintage
182,blue black,blue black,-,midrange,-,Dimir (UB) Goodstuff Midrange.txt,2020-07-03,Vintage Unpowered
183,blue black,blue black,-,combo,reanimator,Dimir (UB) Lutri Reanimator Combo,2021-01-31,Vintage Unpowered
184,blue black,blue black,-,midrange,-,Dimir (UB) Midrange [WOTC Vintage].txt,2019-07-28,WOTC Vintage
185,green blue black,blue black,green,combo,reanimator,Dimir (UB) Psychatog Reanimator Combo.txt,2020-09-12,Vintage Unpowered
186,blue black,black,blue,combo,reanimator,Dimir (UB) Psychatog Recurring Nightmare Reanimator Combo copy.txt,2020-03-20,Vintage Unpowered
187,blue black,blue black,-,combo,reanimator,Dimir (UB) Psychatog Recurring Nightmare Reanimator Combo.txt,2020-03-20,Vintage Unpowered
188,blue black,blue black,-,ramp,-,Dimir (UB) Ramp [WOTC Vintage].txt,2019-01-01,WOTC Vintage
189,green blue black,blue black,green,combo,reanimator,Dimir (UB) Reanimator Combo,2021-01-31,Vintage Unpowered
190,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo 2 [WOTC Vintage].txt,2020-04-25,WOTC Vintage
191,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo 2.11.18.txt,2018-02-11,Vintage Unpowered
192,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo 2.5.18.txt,2018-02-05,Vintage Unpowered
193,green blue black,blue black,green,combo,reanimator,Dimir (UB) Reanimator Combo 5.31.18.txt,2018-05-31,Vintage Unpowered
194,red blue black,blue black,red,combo,reanimator,Dimir (UB) Reanimator Combo [Vintage] (2).txt,2020-09-12,Vintage Powered
195,green blue black,black,green blue,combo,reanimator,Dimir (UB) Reanimator Combo [Vintage].txt,2020-09-12,Vintage Powered
196,blue black,black,blue,combo,reanimator,Dimir (UB) Reanimator Combo [WOTC Vintage] copy 2.txt,2020-07-03,WOTC Vintage
197,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo [WOTC Vintage] copy 3.txt,2020-07-03,WOTC Vintage
198,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo [WOTC Vintage] copy 4.txt,2020-07-03,WOTC Vintage
199,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo [WOTC Vintage] copy.txt,2020-07-03,WOTC Vintage
200,blue black white,blue black,white,combo,reanimator,Dimir (UB) Reanimator Combo [WOTC Vintage].txt,2020-07-03,WOTC Vintage
201,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo copy [WOTC Vintage].txt,2020-01-12,WOTC Vintage
202,blue black,blue black,-,combo,reanimator,Dimir (UB) Reanimator Combo copy.txt,2020-07-03,Vintage Unpowered
203,blue black,black,blue,combo,reanimator,Dimir (UB) Reanimator Combo.txt,2020-07-03,Vintage Unpowered
204,blue black,blue black,-,combo,reanimator  artifacts,Dimir (UB) Reanimator Tinker Combo 7.14.18.txt,2018-07-14,Vintage Unpowered
205,red blue black,blue black,red,midrange,reanimator,Dimir (UB) Recurring Nightmare Midrange [WOTC Vintage].txt,2020-09-12,WOTC Vintage
206,blue black,blue black,-,midrange,reanimator,Dimir (UB) Recurring Nightmare Midrange.txt,2019-07-07,Vintage Unpowered
207,blue black,blue black,-,control,spellsmatter,Dimir (UB) Spells Matters Control 4.2.18.txt,2018-04-02,Vintage Unpowered
208,blue black,blue black,-,aggro control,-,Dimir (UB) Tempo 7.11.18.txt,2018-07-11,Vintage Unpowered
209,blue black,blue black,-,aggro control,-,Dimir (UB) Tempo 9.8.18.txt,2018-09-08,Vintage Unpowered
210,blue black,blue black,-,aggro control,-,Dimir (UB) Tempo.txt,2019-10-12,Vintage Unpowered
211,blue black,blue,black,combo,reanimator  artifacts,Dimir (UB) The Antiquities War Reanimator Combo 5.19.18 [WOTC Vintage].txt,2018-05-19,WOTC Vintage
212,blue black,blue,black,ramp,artifacts,Dimir (UB) Tinker Artifact Ramp 5.13.18.txt,2018-05-13,Vintage Unpowered
213,green blue black,blue black,green,combo,reanimator  artifacts,Dimir (UB) Tinker Reanimator Combo 7.6.18 [WOTC Vintage].txt,2018-07-06,WOTC Vintage
214,blue black,blue black,-,combo,reanimator  artifacts,Dimir (UB) Tinker Reanimator Combodck [WOTC Vintage].txt,2019-01-06,WOTC Vintage
215,blue black,blue black,-,ramp,artifacts  upheaval,Dimir (UB) Tinker Upheaval Ramp 6.23.18 [WOTC Vintage].txt,2018-06-23,WOTC Vintage
216,blue black,blue black,-,control,artifacts,Dimir (UB) Tinkerless Tinker Control [WOTC Vintage].txt,2020-03-20,WOTC Vintage
217,blue black,blue black,-,control,upheaval,Dimir (UB) Upheaval Control [WOTC Vintage].txt,2018-12-05,WOTC Vintage
218,blue black,blue,black,combo,artifacts,Dimir (UBW) Tinker Combo.txt,2019-07-02,Vintage Unpowered
