deckID,number,name,location,deckName,color,cmc,manaCost,power,toughness,text,types,subtypes
1,1,Evolving Wilds,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",Land,NA
1,1,Lingering Souls,MB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{2}{W},NA,NA,"Create two 1/1 white Spirit creature tokens with flying.
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Sorcery,NA
1,1,The Abyss,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,4,{3}{B},NA,NA,"At the beginning of each player's upkeep, destroy target nonartifact creature that player controls of their choice. It can't be regenerated.",Enchantment,NA
1,1,Mulldrifter,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,5,{4}{U},2,2,"Flying
When Mulldrifter enters the battlefield, draw two cards.
Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",Creature,Elemental
1,1,Creeping Tar Pit,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"Creeping Tar Pit enters the battlefield tapped.
{T}: Add {U} or {B}.
{1}{U}{B}: Creeping Tar Pit becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.",Land,NA
1,1,Maelstrom Pulse,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Green,3,{1}{B}{G},NA,NA,Destroy target nonland permanent and all other permanents with the same name as that permanent.,Sorcery,NA
1,1,Sacred Foundry,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"({T}: Add {R} or {W}.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land,Mountain Plains
1,1,Forbid,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},NA,NA,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Counter target spell.",Instant,NA
1,1,Arid Mesa,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Arid Mesa: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle your library.",Land,NA
1,1,"Saheeli, the Gifted",MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue Red,4,{2}{U}{R},NA,NA,"+1: Create a 1/1 colorless Servo artifact creature token.
+1: The next spell you cast this turn costs {1} less to cast for each artifact you control as you cast it.
−7: For each artifact you control, create a token that's a copy of it. Those tokens gain haste. Exile those tokens at the beginning of the next end step.
Saheeli, the Gifted can be your commander.",Planeswalker,Saheeli
1,1,City of Brass,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"Whenever City of Brass becomes tapped, it deals 1 damage to you.
{T}: Add one mana of any color.",Land,NA
1,1,Dreadbore,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black Red,2,{B}{R},NA,NA,Destroy target creature or planeswalker.,Sorcery,NA
1,1,"Liliana, the Last Hope",MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,3,{1}{B}{B},NA,NA,"+1: Up to one target creature gets -2/-1 until your next turn.
−2: Put the top two cards of your library into your graveyard, then you may return a creature card from your graveyard to your hand.
−7: You get an emblem with ""At the beginning of your end step, create X 2/2 black Zombie creature tokens, where X is two plus the number of Zombies you control.""",Planeswalker,Liliana
1,1,Vendilion Clique,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},3,1,"Flash
Flying
When Vendilion Clique enters the battlefield, look at target player's hand. You may choose a nonland card from it. If you do, that player reveals the chosen card, puts it on the bottom of their library, then draws a card.",Creature,Faerie Wizard
1,1,Ancestral Vision,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,0,NA,NA,NA,"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Target player draws three cards.",Sorcery,NA
1,1,Volcanic Island,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,({T}: Add {U} or {R}.),Land,Island Mountain
1,1,"Nicol Bolas, the Ravager",MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue Black Red,4,{1}{U}{B}{R},4,4,"Flying
When Nicol Bolas, the Ravager enters the battlefield, each opponent discards a card.
{4}{U}{B}{R}: Exile Nicol Bolas, the Ravager, then return him to the battlefield transformed under his owner's control. Activate this ability only any time you could cast a sorcery.",Creature,Elder Dragon
1,1,Vampire Nighthawk,MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,3,{1}{B}{B},2,3,"Flying, deathtouch, lifelink",Creature,Vampire Shaman
1,1,Incinerate,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,2,{1}{R},NA,NA,Incinerate deals 3 damage to any target. A creature dealt damage this way can't be regenerated this turn.,Instant,NA
1,1,"Tasigur, the Golden Fang",MB,(WUBRG) 5 Color Control 11.6.18.dck,Black,6,{5}{B},4,5,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
{2}{G/U}{G/U}: Put the top two cards of your library into your graveyard, then return a nonland card of an opponent's choice from your graveyard to your hand.",Creature,Human Shaman
1,1,Chain Lightning,MB,(WUBRG) 5 Color Control 11.6.18.dck,Red,1,{R},NA,NA,"Chain Lightning deals 3 damage to any target. Then that player or that permanent's controller may pay {R}{R}. If the player does, they may copy this spell and may choose a new target for that copy.",Sorcery,NA
1,1,Jace Beleren,MB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{1}{U}{U},NA,NA,"+2: Each player draws a card.
−1: Target player draws a card.
−10: Target player puts the top twenty cards of their library into their graveyard.",Planeswalker,Jace
1,1,Coldsteel Heart,MB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,2,{2},NA,NA,"Coldsteel Heart enters the battlefield tapped.
As Coldsteel Heart enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.",Artifact,NA
1,1,Tinker,SB,(WUBRG) 5 Color Control 11.6.18.dck,Blue,3,{2}{U},NA,NA,"As an additional cost to cast this spell, sacrifice an artifact.
Search your library for an artifact card and put that card onto the battlefield. Then shuffle your library.",Sorcery,NA
1,1,Dust Bowl,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{3}, {T}, Sacrifice a land: Destroy target nonbasic land.",Land,NA
1,1,Rishadan Port,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{1}, {T}: Tap target land.",Land,NA
1,1,"Brimaz, King of Oreskos",SB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{1}{W}{W},3,4,"Vigilance
Whenever Brimaz, King of Oreskos attacks, create a 1/1 white Cat Soldier creature token with vigilance that's attacking.
Whenever Brimaz blocks a creature, create a 1/1 white Cat Soldier creature token with vigilance that's blocking that creature.",Creature,Cat Soldier
1,1,Triskelion,SB,(WUBRG) 5 Color Control 11.6.18.dck,Colorless,6,{6},1,1,"Triskelion enters the battlefield with three +1/+1 counters on it.
Remove a +1/+1 counter from Triskelion: It deals 1 damage to any target.",Artifact Creature,Construct
1,1,Goblin Guide,SB,(WUBRG) 5 Color Control 11.6.18.dck,Red,1,{R},2,2,"Haste
Whenever Goblin Guide attacks, defending player reveals the top card of their library. If it's a land card, that player puts it into their hand.",Creature,Goblin Scout
1,1,Cultivate,SB,(WUBRG) 5 Color Control 11.6.18.dck,Green,3,{2}{G},NA,NA,"Search your library for up to two basic land cards, reveal those cards, and put one onto the battlefield tapped and the other into your hand. Then shuffle your library.",Sorcery,NA
1,1,Council's Judgment,SB,(WUBRG) 5 Color Control 11.6.18.dck,White,3,{1}{W}{W},NA,NA,"Will of the council — Starting with you, each player votes for a nonland permanent you don't control. Exile each permanent with the most votes or tied for most votes.",Sorcery,NA
1,1,"Thalia, Guardian of Thraben",SB,(WUBRG) 5 Color Control 11.6.18.dck,White,2,{1}{W},2,1,"First strike
Noncreature spells cost {1} more to cast.",Creature,Human Soldier
1,1,Hero of Bladehold,SB,(WUBRG) 5 Color Control 11.6.18.dck,White,4,{2}{W}{W},3,4,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.",Creature,Human Knight
2,1,Caves of Koilos,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",Land,NA
2,1,Godless Shrine,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,"({T}: Add {W} or {B}.)
As Godless Shrine enters the battlefield, you may pay 2 life. If you don't, Godless Shrine enters the battlefield tapped.",Land,Plains Swamp
2,1,Scrubland,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,({T}: Add {W} or {B}.),Land,Plains Swamp
2,1,Terramorphic Expanse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",Land,NA
2,1,Tundra,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,0,NA,NA,NA,({T}: Add {W} or {U}.),Land,Plains Island
2,1,Brainstorm,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,1,{U},NA,NA,"Draw three cards, then put two cards from your hand on top of your library in any order.",Instant,NA
2,1,Condescend,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,1,{X}{U},NA,NA,"Counter target spell unless its controller pays {X}. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",Instant,NA
2,1,Land Tax,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,1,{W},NA,NA,"At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle your library.",Enchantment,NA
2,1,Mind Twist,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Black,1,{X}{B},NA,NA,Target player discards X cards at random.,Sorcery,NA
2,1,Ancestral Vision,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,0,NA,NA,NA,"Suspend 4—{U} (Rather than cast this card from your hand, pay {U} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)
Target player draws three cards.",Sorcery,NA
2,1,Coldsteel Heart,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,2,{2},NA,NA,"Coldsteel Heart enters the battlefield tapped.
As Coldsteel Heart enters the battlefield, choose a color.
{T}: Add one mana of the chosen color.",Artifact,NA
2,1,Mana Leak,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,2,{1}{U},NA,NA,Counter target spell unless its controller pays {3}.,Instant,NA
2,1,Memory Lapse,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,2,{1}{U},NA,NA,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.",Instant,NA
2,1,Scroll Rack,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,2,{2},NA,NA,"{1}, {T}: Exile any number of cards from your hand face down. Put that many cards from the top of your library into your hand. Then look at the exiled cards and put them on top of your library in any order.",Artifact,NA
2,1,Banishing Light,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,3,{2}{W},NA,NA,"When Banishing Light enters the battlefield, exile target nonland permanent an opponent controls until Banishing Light leaves the battlefield. (That permanent returns under its owner's control.)",Enchantment,NA
2,1,Coalition Relic,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Colorless,3,{3},NA,NA,"{T}: Add one mana of any color.
{T}: Put a charge counter on Coalition Relic.
At the beginning of your precombat main phase, remove all charge counters from Coalition Relic. Add one mana of any color for each charge counter removed this way.",Artifact,NA
2,1,Forbid,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},NA,NA,"Buyback—Discard two cards. (You may discard two cards in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)
Counter target spell.",Instant,NA
2,1,Jace Beleren,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},NA,NA,"+2: Each player draws a card.
−1: Target player draws a card.
−10: Target player puts the top twenty cards of their library into their graveyard.",Planeswalker,Jace
2,1,Psychatog,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue Black,3,{1}{U}{B},1,2,"Discard a card: Psychatog gets +1/+1 until end of turn.
Exile two cards from your graveyard: Psychatog gets +1/+1 until end of turn.",Creature,Atog
2,1,True-Name Nemesis,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,3,{1}{U}{U},3,1,"As True-Name Nemesis enters the battlefield, choose a player.
True-Name Nemesis has protection from the chosen player. (This creature can't be blocked, targeted, dealt damage, or enchanted by anything controlled by that player.)",Creature,Merfolk Rogue
2,1,Control Magic,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,4,{2}{U}{U},NA,NA,"Enchant creature
You control enchanted creature.",Enchantment,Aura
2,1,"Elspeth, Knight-Errant",MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,4,{2}{W}{W},NA,NA,"+1: Create a 1/1 white Soldier creature token.
+1: Target creature gets +3/+3 and gains flying until end of turn.
−8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""",Planeswalker,Elspeth
2,1,Supreme Verdict,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White Blue,4,{1}{W}{W}{U},NA,NA,"This spell can't be countered.
Destroy all creatures.",Sorcery,NA
2,1,Cloudgoat Ranger,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,5,{3}{W}{W},3,3,"When Cloudgoat Ranger enters the battlefield, create three 1/1 white Kithkin Soldier creature tokens.
Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.",Creature,Giant Warrior
2,1,Aetherling,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,Blue,6,{4}{U}{U},4,5,"{U}: Exile Aetherling. Return it to the battlefield under its owner's control at the beginning of the next end step.
{U}: Aetherling can't be blocked this turn.
{1}: Aetherling gets +1/-1 until end of turn.
{1}: Aetherling gets -1/+1 until end of turn.",Creature,Shapeshifter
2,1,Catastrophe,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,6,{4}{W}{W},NA,NA,Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.,Sorcery,NA
2,1,Eternal Dragon,MB,3-0 Esper (UBW) Psychatog Control 4.15.18.txt,White,7,{5}{W}{W},5,5,"Flying
{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle your library.)",Creature,Dragon Spirit
3,1,Polluted Delta,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle your library.",Land,NA
3,1,Scrubland,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,({T}: Add {W} or {B}.),Land,Plains Swamp
3,1,Windswept Heath,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Windswept Heath: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle your library.",Land,NA
3,1,Overgrown Tomb,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land,Swamp Forest
3,1,Wooded Foothills,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,"{T}, Pay 1 life, Sacrifice Wooded Foothills: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle your library.",Land,NA
3,1,Plateau,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,({T}: Add {R} or {W}.),Land,Mountain Plains
3,1,Savannah,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,NA,NA,NA,({T}: Add {G} or {W}.),Land,Forest Plains
3,1,Chrome Mox,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,0,{0},NA,NA,"Imprint — When Chrome Mox enters the battlefield, you may exile a nonartifact, nonland card from your hand.
{T}: Add one mana of any of the exiled card's colors.",Artifact,NA
3,1,"Kytheon, Hero of Akros",MB,Abzan (BGW) Aggro 6.16.18.txt,White,1,{W},2,1,"At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.
{2}{W}: Kytheon gains indestructible until end of turn.",Creature,Human Soldier
3,1,Student of Warfare,MB,Abzan (BGW) Aggro 6.16.18.txt,White,1,{W},1,1,"Level up {W} ({W}: Put a level counter on this. Level up only as a sorcery.)
LEVEL 2-6
3/3
First strike
LEVEL 7+
4/4
Double strike",Creature,Human Knight
3,1,Mother of Runes,MB,Abzan (BGW) Aggro 6.16.18.txt,White,1,{W},1,1,{T}: Target creature you control gains protection from the color of your choice until end of turn.,Creature,Human Cleric
3,1,Dread Wanderer,MB,Abzan (BGW) Aggro 6.16.18.txt,Black,1,{B},2,1,"Dread Wanderer enters the battlefield tapped.
{2}{B}: Return Dread Wanderer from your graveyard to the battlefield. Activate this ability only any time you could cast a sorcery and only if you have one or fewer cards in hand.",Creature,Zombie Jackal
3,1,Swords to Plowshares,MB,Abzan (BGW) Aggro 6.16.18.txt,White,1,{W},NA,NA,Exile target creature. Its controller gains life equal to its power.,Instant,NA
3,1,Thoughtseize,MB,Abzan (BGW) Aggro 6.16.18.txt,Black,1,{B},NA,NA,Target player reveals their hand. You choose a nonland card from it. That player discards that card. You lose 2 life.,Sorcery,NA
3,1,Tidehollow Sculler,MB,Abzan (BGW) Aggro 6.16.18.txt,White Black,2,{W}{B},2,2,"When Tidehollow Sculler enters the battlefield, target opponent reveals their hand and you choose a nonland card from it. Exile that card.
When Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.",Artifact Creature,Zombie
3,1,Adanto Vanguard,MB,Abzan (BGW) Aggro 6.16.18.txt,White,2,{1}{W},1,1,"As long as Adanto Vanguard is attacking, it gets +2/+0.
Pay 4 life: Adanto Vanguard gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",Creature,Vampire Soldier
3,1,Scrapheap Scrounger,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,2,{2},3,2,"Scrapheap Scrounger can't block.
{1}{B}, Exile another creature card from your graveyard: Return Scrapheap Scrounger from your graveyard to the battlefield.",Artifact Creature,Construct
3,1,Phyrexian Revoker,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,2,{2},2,1,"As Phyrexian Revoker enters the battlefield, choose a nonland card name.
Activated abilities of sources with the chosen name can't be activated.",Artifact Creature,Horror
3,1,Zealous Persecution,MB,Abzan (BGW) Aggro 6.16.18.txt,White Black,2,{W}{B},NA,NA,"Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1.",Instant,NA
3,1,Recruiter of the Guard,MB,Abzan (BGW) Aggro 6.16.18.txt,White,3,{2}{W},1,1,"When Recruiter of the Guard enters the battlefield, you may search your library for a creature card with toughness 2 or less, reveal it, put it into your hand, then shuffle your library.",Creature,Human Soldier
3,1,Fiend Hunter,MB,Abzan (BGW) Aggro 6.16.18.txt,White,3,{1}{W}{W},1,3,"When Fiend Hunter enters the battlefield, you may exile another target creature.
When Fiend Hunter leaves the battlefield, return the exiled card to the battlefield under its owner's control.",Creature,Human Cleric
3,1,Flickerwisp,MB,Abzan (BGW) Aggro 6.16.18.txt,White,3,{1}{W}{W},3,1,"Flying
When Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.",Creature,Elemental
3,1,Porcelain Legionnaire,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,3,{2}{W/P},3,1,"({W/P} can be paid with either {W} or 2 life.)
First strike",Artifact Creature,Soldier
3,1,Tireless Tracker,MB,Abzan (BGW) Aggro 6.16.18.txt,Green,3,{2}{G},3,2,"Whenever a land enters the battlefield under your control, investigate. (Create a colorless Clue artifact token with ""{2}, Sacrifice this artifact: Draw a card."")
Whenever you sacrifice a Clue, put a +1/+1 counter on Tireless Tracker.",Creature,Human Scout
3,1,Tangle Wire,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,3,{3},NA,NA,"Fading 4 (This artifact enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
At the beginning of each player's upkeep, that player taps an untapped artifact, creature, or land they control for each fade counter on Tangle Wire.",Artifact,NA
3,1,Sword of Light and Shadow,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,3,{3},NA,NA,"Equipped creature gets +2/+2 and has protection from white and from black.
Whenever equipped creature deals combat damage to a player, you gain 3 life and you may return up to one target creature card from your graveyard to your hand.
Equip {2}",Artifact,Equipment
3,1,Grafted Wargear,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,3,{3},NA,NA,"Equipped creature gets +3/+2.
Whenever Grafted Wargear becomes unattached from a permanent, sacrifice that permanent.
Equip {0} ({0}: Attach to target creature you control. Equip only as a sorcery.)",Artifact,Equipment
3,1,Sword of Fire and Ice,MB,Abzan (BGW) Aggro 6.16.18.txt,Colorless,3,{3},NA,NA,"Equipped creature gets +2/+2 and has protection from red and from blue.
Whenever equipped creature deals combat damage to a player, Sword of Fire and Ice deals 2 damage to any target and you draw a card.
Equip {2}",Artifact,Equipment
3,1,Hero of Bladehold,MB,Abzan (BGW) Aggro 6.16.18.txt,White,4,{2}{W}{W},3,4,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
Whenever Hero of Bladehold attacks, create two 1/1 white Soldier creature tokens that are tapped and attacking.",Creature,Human Knight
3,1,Restoration Angel,MB,Abzan (BGW) Aggro 6.16.18.txt,White,4,{3}{W},3,4,"Flash
Flying
When Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",Creature,Angel
3,1,Sram's Expertise,MB,Abzan (BGW) Aggro 6.16.18.txt,White,4,{2}{W}{W},NA,NA,"Create three 1/1 colorless Servo artifact creature tokens.
You may cast a card with converted mana cost 3 or less from your hand without paying its mana cost.",Sorcery,NA
3,1,Cloudgoat Ranger,MB,Abzan (BGW) Aggro 6.16.18.txt,White,5,{3}{W}{W},3,3,"When Cloudgoat Ranger enters the battlefield, create three 1/1 white Kithkin Soldier creature tokens.
Tap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.",Creature,Giant Warrior
4,1,Bayou,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,({T}: Add {B} or {G}.),Land,Swamp Forest
4,1,Caves of Koilos,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",Land,NA
4,1,Evolving Wilds,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,"{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle your library.",Land,NA
4,1,Karakas,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,"{T}: Add {W}.
{T}: Return target legendary creature to its owner's hand.",Land,NA
4,1,Plateau,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,({T}: Add {R} or {W}.),Land,Mountain Plains
4,1,Savannah,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,({T}: Add {G} or {W}.),Land,Forest Plains
4,1,Shambling Vent,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,"Shambling Vent enters the battlefield tapped.
{T}: Add {W} or {B}.
{1}{W}{B}: Shambling Vent becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.",Land,NA
4,1,Temple Garden,MB,Abzan (BGW) Attrition Aggro.txt,Colorless,0,NA,NA,NA,"({T}: Add {G} or {W}.)
As Temple Garden enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",Land,Forest Plains
