name,color,cmc,manaCost,power,toughness,text,types,subtypes
Incite Insight, Blue,2,{X}{U}{U},,,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)", Sorcery,
Kindly Cognician, Blue,2,{1}{U},1,3,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast., Artifact Creature, Cyborg Artificer
Magic Word, Blue,3,{2}{U},,,"Enchant creature
As Magic Word enters the battlefield, choose a word.
Whisper the chosen word: Tap enchanted creature.", Enchantment, Aura
Mer Man, Blue,5,{4}{U},3,3,"When this creature enters the battlefield, you may draw a card.", Host Creature, Human Fish
More or Less, Blue,1,{U},,,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn., Instant,
Novellamental, Blue,2,{1}{U},2,1,"Flying
Novellamental can block only creatures with flying.", Creature, Elemental
Numbing Jellyfish, Blue,4,{3}{U},2,3,"When this creature enters the battlefield, roll a six-sided die. Target player puts the top X cards of their library into their graveyard, where X is the result.", Host Creature, Jellyfish
S.N.E.A.K. Dispatcher, Blue,2,{1}{U},2,1,"{2}{U}, {T}: Look at the top card of target player's library. If it has an Agents of S.N.E.A.K. watermark, you may reveal it and put it into your hand. Otherwise, put it on the top or bottom of its owner's library.", Creature, Human Spy
Socketed Sprocketer, Blue,1,{U},1,1,"{T}: Uninstall all results from Socketed Sprocketer, then roll a six-sided die. Install the result on Socketed Sprocketer. (Put the die on this card.)
You may uninstall a result from Socketed Sprocketer to use it for a die you rolled.
Uninstall a 6 from Socketed Sprocketer: Draw a card.", Artifact Creature, Cyborg Knight
Spell Suck, Blue,4,{2}{U}{U},,,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Instant,
Spy Eye, Blue,4,{2}{U}{U},1,3,"Flying
Whenever Spy Eye deals combat damage to a player, you may draw a card from that player's library.", Creature, Eye Spy
Suspicious Nanny, Blue,5,{4}{U},3,4,"Whenever Suspicious Nanny deals combat damage to a player, it reassembles target Contraption that player controls. (Gain control of it and move it onto one of your sprockets.)", Creature, Human Spy Rigger
Time Out, Blue,5,{4}{U},,,"Roll a six-sided die. Put target nonland permanent into its owner's library just beneath the top X cards of that library, where X is the result.", Instant,
Very Cryptic Command (b), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Untap two target permanents.
• Tap each permanent target player controls with exactly one word in its name.
• Discard all the cards in your hand, then draw that many cards.
• Return target instant or sorcery card from your graveyard to your hand.", Instant,
Very Cryptic Command (a), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Switch target creature's power and toughness until end of turn.
• Target creature can't be blocked this turn.
• Draw a card. If that card's art is by Wayne England, you may reveal it and draw another card.
• Assemble a Contraption.", Instant,
Very Cryptic Command (c), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Draw a card from an opponent's library.
• Copy target instant or sorcery spell. You may choose new targets for the copy.
• Until end of turn, target creature loses all abilities and becomes a blue Frog with base power and toughness 1/1.
• Create a 1/1 colorless Gnome artifact creature token.", Instant,
Very Cryptic Command (d), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Return target permanent to its controller's hand.
• Draw two cards, then discard a card.
• Change the target of target spell with a single target.
• Turn over target nontoken creature.", Instant,
Very Cryptic Command (e), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Counter target black-bordered spell.
• Return target creature to its owner's hand.
• Untap each permanent you control with a watermark.
• Roll two six-sided dice. Target player puts the top X cards of their library into their graveyard, where X is the total of those results.", Instant,
Very Cryptic Command (f), Blue,4,{1}{U}{U}{U},,,"Choose two —
• Scry 3.
• Create a 2/2 black Rogue creature token with menace.
• Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.
• Return all artifacts target player controls to their owner's hand.", Instant,
Wall of Fortune, Blue,2,{1}{U},0,4,"Defender
You may tap an untapped Wall you control to have any player reroll a die that player rolled.", Artifact Creature, Wall
Big Boa Constrictor, Black,4,{3}{B},1,2,"When this creature enters the battlefield, roll a six-sided die. Target opponent loses life equal to the result.", Host Creature, Snake
capital offense, Black,4,{2}{B}{B},,,"target creature gets -x/-x until end of turn, where x is the number of times a capital letter appears in its rules text. (ignore reminder text and flavor text.)", Instant,
Dirty Rat, Black,2,{1}{B},1,1,"When this creature enters the battlefield, target opponent discards a card.", Host Creature, Rat
Extremely Slow Zombie, Black,2,{1}{B},3,3,Last strike (This creature deals combat damage after creatures without last strike.), Creature, Zombie
"Finders, Keepers", Black,6,{5}{B},,,"Destroy target creature, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Sorcery,
Hangman, Black,1,{B},1,1,"As Hangman enters the battlefield, secretly note a word with six to eight letters.
{1}: Target player who doesn't control Hangman guesses the noted word or an unguessed letter in that word. If they guess wrong, put a +1/+1 counter on Hangman. Any player may activate this ability.
When a player guesses the noted word or all of its letters, sacrifice Hangman.", Creature, Human Villain
Hazmat Suit (Used), Black,4,{3}{B},,,"Enchant creature
Enchanted creature gets +2/+1 and has menace.
Whenever a player's skin or fingernail touches enchanted creature, that player loses 2 life.", Enchantment, Aura
Hoisted Hireling, Black,3,{2}{B},2,1,Hoisted Hireling has flying as long as it's being held above the battlefield., Creature, Zombie
Inhumaniac, Black,2,{1}{B},1,1,"At the beginning of your upkeep, roll a six-sided die. On a 3 or 4, put a +1/+1 counter on Inhumaniac. On a 5 or higher, put two +1/+1 counters on it. On a 1, remove all +1/+1 counters from Inhumaniac.", Creature, Brainiac
Masterful Ninja, Black,3,{2}{B},1,1,"Haste
Reveal Masterful Ninja from your hand: Masterful Ninja is on the battlefield and in your hand until end of turn.
{1}{B}: Masterful Ninja gets +1/+1 until end of turn.", Creature, Troll Ninja
Ninja, Black,0,,+1,+0,"You may activate Ninja's augment ability any time you could cast an instant.
Whenever this creature deals combat damage to a player,
Augment {2}{B} ({2}{B}, Reveal this card from your hand: Combine it with target host. Augment only as—oh, nevermind.)", Creature, Ninja
Old-Fashioned Vampire, Black,5,{3}{B}{B},3,3,"Flying
Old-Fashioned Vampire gets +2/+2 and has deathtouch as long as it's dark outdoors.", Creature, Vampyre
Over My Dead Bodies, Black,6,{4}{B}{B},,,"Creature cards in graveyards can attack and block as though they were on the battlefield, can block or be blocked only by creature cards in graveyards, are Zombies in addition to their other types, and have undeathtouch. (If they would deal damage to a creature card, exile that creature card instead.)
Creature cards in your graveyard have haste.", Enchantment,
Overt Operative, Black,4,{3}{B},2,3,"Menace
Whenever Overt Operative deals combat damage to a player, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Human Ninja Rigger
"""Rumors of My Death . . .""", Black,3,{2}{B},,,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.", Enchantment,
Skull Saucer, Black,6,{4}{B}{B},4,1,"Flying
When Skull Saucer enters the battlefield, destroy target creature and put your head on the table. Sacrifice Skull Saucer when your head stops touching the table.", Creature, Zombie Head
Sly Spy (a), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, that player reveals their hand. You choose a card from it with the longest name. That player discards that card.", Creature, Human Spy
Sly Spy (b), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing left in its art. (Creatures without faces don't face anywhere.)", Creature, Human Spy
Sly Spy (c), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, that player loses a finger until Sly Spy leaves the battlefield. (The finger is chosen by its owner and can't roll dice or touch cards.)", Creature, Human Spy
Sly Spy (d), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, you may destroy target creature facing right in its art. (Creatures without faces don't face anywhere.)", Creature, Human Spy
Sly Spy (e), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, that player reveals the top card of their library. Put that card into your hand and you lose life equal to its converted mana cost.", Creature, Human Spy
Sly Spy (f), Black,3,{2}{B},2,2,"Whenever Sly Spy deals combat damage to a player, roll a six-sided die. That player loses life equal to the result.", Creature, Human Spy
Snickering Squirrel, Black,1,{B},1,1,You may tap Snickering Squirrel to increase the result of a die any player rolled by 1., Creature, Squirrel Advisor
"Spike, Tournament Grinder",Colorless,4,{2}{B/P}{B/P},1,1,"({B/P} can be paid with either {B} or 2 life.)
{B/P}{B/P}{B/P}{B/P}: Choose a card you own from outside the game that has been banned or restricted in a Constructed format, reveal that card, and put it into your hand.", Creature, Human Gamer
Squirrel-Powered Scheme, Black,3,{2}{B},,,Increase the result of each die you roll by 2., Enchantment,
Steady-Handed Mook, Black,3,{2}{B},1,1,"Deathtouch
When Steady-Handed Mook enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Human Rigger
Stinging Scorpion, Black,5,{4}{B},3,2,"When this creature enters the battlefield, target creature an opponent controls gets -1/-1 until end of turn.", Host Creature, Scorpion
Subcontract, Black,1,{B},,,A person outside the game looks at target opponent's hand and chooses a nonland card from it. That player discards that card., Sorcery,
Summon the Pack, Black,8,{7}{B},,,"Open a sealed Magic booster pack, reveal the cards, and put all creature cards revealed this way onto the battlefield under your control. They're Zombies in addition to their other types. (Remove those cards from your deck before beginning a new game.)", Sorcery,
Zombified, Black,0,,+2,+2,"{4}{B}: Combine Zombified from your graveyard with target host.
{2}{B}, Exile a creature card from your graveyard:
Augment {4}{B} ({4}{B}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Zombie
The Big Idea, Red,6,{4}{R}{R},4,4,"{2}{B/R}{B/R}, {T}: Roll a six-sided die. Create a number of 1/1 red Brainiac creature tokens equal to the result.
Tap three untapped Brainiacs you control: The next time you would roll a six-sided die, instead roll two six-sided dice and use the total of those results.", Creature, Brainiac Villain
Box of Free-Range Goblins, Red,6,{4}{R}{R},,,Roll a six-sided die. Create a number of 1/1 red Goblin creature tokens equal to the result., Sorcery,
Bumbling Pangolin, Red,4,{3}{R},2,2,"When this creature enters the battlefield, you may destroy target artifact.", Host Creature, Pangolin Beast
Common Iguana, Red,2,{1}{R},1,3,"When this creature enters the battlefield, you may discard a card. If you do, draw a card.", Host Creature, Lizard
The Countdown Is at One, Red,5,{3}{R}{R},,,"Players play a Magic subgame, starting at 1 life and using their libraries as their decks. For the rest of the main game, if a source would deal damage to a player who didn't win the subgame, it deals double that damage to that player instead.", Sorcery,
Feisty Stegosaurus, Red,5,{4}{R},2,1,"When this creature enters the battlefield, roll a six-sided die. This creature deals damage equal to the result to target creature an opponent controls.", Host Creature, Dinosaur
Garbage Elemental (a), Red,5,{4}{R},2,4,"Frenzy 2 (Whenever this creature attacks and isn't blocked, it gets +2/+0 until end of turn.)
Garbage Elemental can't be blocked by wordy creatures. (A creature is wordy if it has four or more lines of rules text.)", Creature, Elemental
Garbage Elemental (b), Red,5,{4}{R},3,1,"When Garbage Elemental enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)", Creature, Elemental Rigger
Garbage Elemental (c), Red,5,{4}{R},3,2,"Battle cry (Whenever this creature attacks, each other attacking creature gets +1/+0 until end of turn.)
When Garbage Elemental enters the battlefield, roll two six-sided dice. Create a number of 1/1 red Goblin creature tokens equal to the difference between those results.", Creature, Elemental
Garbage Elemental (d), Red,5,{4}{R},3,3,"Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
When Garbage Elemental enters the battlefield, roll a six-sided die. Garbage Elemental deals damage equal to the result to target opponent or planeswalker.", Creature, Elemental
Garbage Elemental (e), Red,5,{4}{R},4,3,"Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each creature you control with any kind of counter on it has art menace. (They can't be blocked except by creatures with two or more visible figures in their art.)", Creature, Elemental
Garbage Elemental (f), Red,5,{4}{R},6,5,"Last strike (This creature deals combat damage after creatures without last strike.)
Battalion — Whenever Garbage Elemental and at least two other creatures attack, target creature can't block this turn.", Creature, Elemental
Goblin Haberdasher, Red,3,{2}{R},2,2,"Menace (This creature can't be blocked except by two or more creatures.)
Other creatures you control wearing hats in their art have menace.", Creature, Goblin Hatificer
"Half-Orc, Half-", Red,0,,+3,+1,"Trample
At the beginning of each end step, if an opponent was dealt damage this turn,
Augment {1}{R}{R} ({1}{R}{R}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Orc Warrior
Hammer Helper, Red,4,{3}{R},,,"Gain control of target creature until end of turn. Untap that creature and roll a six-sided die. Until end of turn, it gains haste and gets +X/+0, where X is the result.", Sorcery,
Hammer Jammer, Red,4,{3}{R},0,0,"As Hammer Jammer enters the battlefield, roll a six-sided die. Hammer Jammer enters the battlefield with a number of +1/+1 counters on it equal to the result.
Whenever you roll a die, remove all +1/+1 counters from Hammer Jammer, then put a number of +1/+1 counters on it equal to the result.", Creature, Goblin Warrior
Hammerfest Boomtacular, Red,5,{3}{R}{R},,,"Whenever you cast a spell with a Goblin Explosioneers watermark, Hammerfest Boomtacular deals 2 damage to any target.", Enchantment,
Infinity Elemental, Red,7,{4}{R}{R}{R},∞,5,(This creature has INFINITE POWER.), Creature, Elemental
It That Gets Left Hanging, Red,6,{5}{R},5,4,"When It That Gets Left Hanging enters the battlefield, ask a person outside the game to high-five you. If they won't, It That Gets Left Hanging gains haste until end of turn.", Creature, Elemental Horror
Just Desserts, Red,2,{1}{R},,,Just Desserts deals π damage to target creature. (π is the ratio of a circle's circumference to its diameter. (It's a smidgen more than 3.)), Instant,
Painiac, Red,3,{2}{R},0,3,"At the beginning of your upkeep, roll a six-sided die. Painiac gets +X/+0 until end of turn, where X is the result.", Creature, Brainiac
Party Crasher, Red,5,{4}{R},3,3,"Haste
You can attack with Party Crasher once each combat during each opponent's turn.", Creature, Goblin Berserker
Steamflogger Boss, Red,4,{3}{R},3,3,"Other Riggers you control get +1/+0 and have haste.
If a Rigger you control would assemble a Contraption, it assembles two Contraptions instead.", Creature, Goblin Rigger
Steamflogger of the Month, Red,5,{3}{R}{R},3,3,"When Steamflogger of the Month enters the battlefield, it assembles a Contraption for each Contraption you control. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Goblin Rigger
Steamflogger Temp, Red,2,{1}{R},2,1,"{6}, {T}: Steamflogger Temp assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Goblin Rigger
Steamfloggery, Red,6,{4}{R}{R},,,"Roll a six-sided die. Assemble a number of Contraptions equal to the result. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)", Instant,
Super-Duper Death Ray, Red,3,{2}{R},,,"Trample (This spell can deal excess damage to its target's controller.)
Super-Duper Death Ray deals 4 damage to target creature.", Instant,
Target Minotaur, Red,2,{1}{R},2,1,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)", Creature, Minotaur Warrior
Three-Headed Goblin, Red,5,{3}{R}{R},3,3,"Triple strike (This creature deals first-strike, regular, and last-strike combat damage.)", Creature, Goblin Mutant
Work a Double, Red,4,{2}{R}{R},,,Assemble two Contraptions. (Put the top card of your Contraption deck face up onto one of your sprockets. Then repeat this process.), Sorcery,
Wrench-Rigger, Red,1,{R},1,1,"When Wrench-Rigger enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Goblin Rigger
As Luck Would Have It, Green,1,{G},,,"Hexproof
Whenever you roll a die, put a number of luck counters on As Luck Would Have It equal to the result. Then if there are 100 or more luck counters on As Luck Would Have It, you win the game. (Count both rolls if you reroll a die.)", Enchantment,
Beast in Show, Green,6,{4}{G}{G},6,4,Trample, Creature, Beast
Chittering Doom, Green,4,{3}{G},,,"Whenever you roll a 4 or higher on a die, create a 1/1 green Squirrel creature token.", Enchantment,
Clever Combo, Green,2,{1}{G},,,"Search your library for a host card or a card with augment, reveal it, put it into your hand, then shuffle your library.", Sorcery,
Druid of the Sacred Beaker, Green,3,{2}{G},2,2,{T}: Add {G} for each Crossbreed Labs watermark among permanents you control., Creature, Deer Bird Ape Druid
Eager Beaver, Green,3,{2}{G},3,2,"When this creature enters the battlefield, you may untap target permanent.", Host Creature, Beaver
Earl of Squirrel, Green,6,{4}{G}{G},4,4,"Squirrellink (Damage dealt by this creature also causes you to create that many 1/1 green Squirrel creature tokens.)
Creature tokens you control are Squirrels in addition to their other creature types.
Other Squirrels you control get +1/+1.", Creature, Squirrel Advisor
First Pick, Green,4,{3}{G},,,Destroy target artifact or enchantment. Assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.), Instant,
Ground Pounder, Green,2,{1}{G},2,2,"{3}{G}: Roll a six-sided die. Ground Pounder gets +X/+X until end of turn, where X is the result.
Whenever you roll a 5 or higher on a die, Ground Pounder gains trample until end of turn.", Creature, Goblin Warrior
"Half-Squirrel, Half-", Green,0,,-1,-0,"Whenever a nontoken creature enters the battlefield,
Augment {G} ({G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Squirrel
Hydradoodle, Green,2,{X}{X}{G}{G},0,0,"As Hydradoodle enters the battlefield, roll X six-sided dice. Hydradoodle enters the battlefield with a number of +1/+1 counters on it equal to the total of those results.
Reach, trample", Creature, Hydra Hound
Ineffable Blessing (a), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose Flavorful or Bland.
• Flavorful — Whenever a creature with flavor text enters the battlefield under your control, draw a card.
• Bland — Whenever a creature without flavor text enters the battlefield under your control, draw a card.", Enchantment,
Ineffable Blessing (b), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose an artist.
Whenever a creature with art by the chosen artist enters the battlefield under your control, draw a card.", Enchantment,
Ineffable Blessing (c), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose white-bordered or silver-bordered.
Whenever a creature with the chosen border enters the battlefield under your control, draw a card.", Enchantment,
Ineffable Blessing (d), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose a rarity.
Whenever a creature with the chosen rarity enters the battlefield under your control, draw a card.", Enchantment,
Ineffable Blessing (e), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose odd or even.
Whenever a creature with a collector number of the chosen value enters the battlefield under your control, draw a card.", Enchantment,
Ineffable Blessing (f), Green,2,{1}{G},,,"As Ineffable Blessing enters the battlefield, choose a number.
Whenever a creature with exactly the chosen number of words in its name enters the battlefield under your control, draw a card. (Hyphenated words are one word.)", Enchantment,
Joyride Rigger, Green,4,{3}{G},3,3,"When Joyride Rigger enters the battlefield, it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)", Creature, Goblin Rigger
Monkey-, Green,0,,+2,+2,"Whenever a nontoken creature you control dies,
Augment {2}{G} ({2}{G}, Reveal this card from your hand: Combine it with target  host. Augment only as a sorcery.)", Creature, Monkey
Mother Kangaroo, Green,5,{4}{G},1,1,"When this creature enters the battlefield, roll a six-sided die. Put a number of +1/+1 counters on this creature equal to the result.", Host Creature, Kangaroo
Multi-Headed, Green,0,,+4,+4,"At the beginning of each end step, if you rolled a die this turn,
Augment {4}{G} ({4}{G}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)", Creature, Hydra
Really Epic Punch, Green,2,{1}{G},,,Target creature you control gets +2/+2 if it's a host or has augment. Then it fights target creature you don't control., Sorcery,
Selfie Preservation, Green,2,{1}{G},,,"Search your library for a basic land card and reveal it. If there's a tree in its art, put it onto the battlefield tapped. Otherwise, put it into your hand. Then shuffle your library.", Sorcery,
